;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
2429;parader;;;;;;;;;;;;;;;;;paradE;;;;;;;;;;;;paradâ;;;;;;;;parad;;;parad;parad;;;;;;;
2430;paralyser;;;;;;paraliza;;;;;;;;;;;paralizE;paralizE;paralize;;;;;;;;;paraliz;;;;;;;;;paraliz;;;paraliz;paraliz;;;;;;;
2431;parapher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;parafâ;;;;;;;;;;;;;;;;;;;
2432;paraître;;;;pary;paryr;pary;;;parEtre;;parEtrô;parEtra;;parEsE;parEsje;parEsE;parEsE;parEsE;parEtr;;;;;;pary;;parEse;parE;parEsâ;;;;;parEtrE;parEtrE;;parE;parEse;parE;parEs;parE;;;parEs;;;;parEs
2433;parcourir;;parkury;;;parkuryr;parkury;;;;;;;parkurjô;parkurE;;;parkurE;parkurE;parkurir;;;;;;;;;parkur;parkurâ;;;;;;;;parkur;;;parkur;parkur;;;;;;;
2434;pardonner;;;;;;pardOna;pardOn6rô;pardOn6rE;pardOn6re;pardOn6ra;pardOn6rô;pardOn6ra;;pardOnE;;;pardOnE;pardOnE;pardOne;;;;;;;pardOnô;pardOne;pardOn;;;pardOn6rE;;pardOn6rE;;pardOn6rE;pardOnô;pardOn;pardOne;pardOn;pardOn;pardOn;;;pardOn;;pardOn;;
2435;parer;;parE;;;;para;;;;;;;;parE;;parE;;parE;pare;;;;;;;;pare;par;parâ;;;;;;par6rE;;par;pare;;;par;;;;;;par;
2436;paresser;;;;;;;;;;;;;;;;;parEsE;;parEse;;;;;;;;;;;;;;;;;;parEs;;;;;;;;;;;
2437;parfaire;;;;;;;;;;;;;;;;;;;parfEr;;;;;;;;;;;;;;;;;;;;;;parfE;;;;;;;
2438;parfumer;;;;;;parfyma;;;;;;;;;;;;parfymE;parfyme;;;;;;;;;;;;;;;;;;parfym;;;parfym;parfym;;;;;;;
2439;parier;;;;;;;;;;;;;;;;;;parjE;parje;;;;;;;parjô;parje;pari;parjâ;;parirE;parirje;parirE;;;;pari;parje;pari;pari;pari;;;pari;;;;
2440;parjurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;parZyr;;;;;;;
2441;parlementer;;;;;;;;;;;;;;;;;;parl6mâtE;parl6mâte;;;;;;;;;;;;;;;;;;parl6mât;;;parl6mât;;;;;;;;
2442;parler;parlam;parlE;;;parlEr;parla;parl6rô;parl6rE;parl6re;parl6ra;parl6rô;parl6ra;parljô;parlE;parlje;parlE;parlE;parlE;parle;;;;;parlas;parla;parlô;parle;parl;parlâ;;parl6rE;parl6rje;parl6rE;parl6rE;parl6rE;parlô;parl;parle;parl;parl;parl;;;parl;parlje;parl;parl;parl
2443;parodier;;parOdjE;;;;;;;;;;;;;;;;;parOdje;;;;;;;;;;parOdjâ;;;;;;;;;;;;;;;;;;;
2444;parrainer;;;;;;;;;;;;;;;;;;;parEne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2445;parsemer;;;;;;;;;;;;;;;;;pars6mE;;;;;;;;;;;;pars6mâ;;;;;;;;;;;parsEm;;;;;;;;
2446;partager;partaZam;;;;;partaZa;partaZ6rô;partaZ6rE;partaZ6re;partaZ6ra;partaZ6rô;partaZ6ra;partaZjô;partaZE;partaZje;partaZE;partaZE;partaZE;partaZe;;;;;;partaZa;partaZô;partaZe;partaZ;partaZâ;;partaZ6rE;partaZ6rje;partaZ6rE;;partaZ6rE;partaZô;partaZ;partaZe;partaZ;partaZ;partaZ;;;partaZ;;;;
2447;participer;;partisipE;;;partisipEr;partisipa;partisip6rô;;;;partisip6rô;partisip6ra;;;;;partisipE;partisipE;partisipe;;;;;;partisipa;partisipô;partisipe;partisip;partisipâ;;;;;;;partisipô;partisip;partisipe;partisip;partisip;partisip;;;;;;;
2448;partir;partim;parti;;parti;partir;parti;partirô;partirE;partire;partira;partirô;partira;partjô;partE;partje;partE;partE;partE;partir;;;;;;;partô;parte;par;partâ;partirjô;partirE;;partirE;partirE;partirE;partô;par;parte;par;part;par;;;part;partje;part;;part
2449;partouzer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;partuz;;;;;;;;
2450;parvenir;;parvê;;;parvêr;parvê;parvjêdrô;parvjêdrE;;;;parvjêdra;;parv6nE;;;parv6nE;parv6nE;parv6nir;;;;;;parvê;parv6nô;;parvjê;parv6nâ;;parvjêdrE;;;;parvjêdrE;parv6nô;parvjê;;parvjê;parvjEn;parvjê;;;parvjEn;;;;parvjEn
2451;passer;pasam;pasE;;;pasEr;pasa;pas6rô;pas6rE;pas6re;pas6ra;pas6rô;pas6ra;pasjô;pasE;pasje;pasE;pasE;pasE;pase;;;;;;pasa;pasô;pase;pas;pasâ;pas6rjô;pas6rE;pas6rje;pas6rE;pas6rE;pas6rE;pasô;pas;pase;pas;pas;pas;;pasjô;pas;pasje;pas;pas;pas
2452;passionner;;pasjOnE;;;pasjOnEr;;;;;;;;;;;;pasjOnE;pasjOnE;pasjOne;;;;;;;;;pasjOn;pasjOnâ;;;;;;;;pasjOn;;;pasjOn;pasjOn;;;;;;;
2453;passiver;;;;;;;;;;;;;;;;;;;pasive;;;;;;;;;pasiv;;;;;;;;;;;;;pasiv;;;;;;;
2454;patauger;;;;;patOZEr;;;;;;;;;;;;patOZE;;patOZe;;;;;;;;patOZe;;patOZâ;;;;;;;;patoZ;;;;patoZ;;;;;;;
2455;patienter;;pasjâtE;;;;;;;;;;pasjât6ra;;;;;;pasjâtE;pasjâte;;;;;;;;pasjâte;pasjât;;;;;;;;;pasjât;pasjâte;;;pasjât;;;;;;;pasjât
2456;patiner;;;;;;;;;;;;;;patinE;;;patinE;;patine;;;;;;;;;;patinâ;;;;;;;;;;;patin;;;;;;;;
2457;patouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;patuj;;;;;;;;;;;;;;;;;;;;
2458;patrouiller;;;;;;patruja;;;;;;;;;;;patrujE;;patruje;;;;;;;;;;;;;;;;;;patruj;;;patruj;patruj;;;;;;;
2459;paumer;;;;;;pOma;;;;;;;;;;;;pOmE;pOme;;;;;;;;;pom;;;;;;;;;pom;;;;pom;;;;;;;
2460;pavaner;;;;;;;;;;;;;;;;;pavanE;pavanE;pavane;;;;;;;;;pavan;pavanâ;;;;;;;pavanô;pavan;;;;pavan;;;;;;;
2461;paver;;;;;;;;;;;;;;;;;;pavE;;;;;;;;;;;;;;;;;;;;;;;pav;;;;;;;
2462;pavoiser;;;;;;;;;;;;;;;;;;pavwazE;pavwaze;;;;;;;;;;;;;;;;;;;;;pavwaz;pavwaz;;;;;;;
2463;payer;;;;;pEjEr;pEja;pErô;pErE,pEj6rE;pEre,pEj6re;pEra;pErô,pEj6rô;pEra,pEj6ra;;pEjE;pEje;pEjE;pEjE;pEjE;pEje;;;;;;pEja;pEjô;pEje;pE,pEj;pEjâ;pErjô;pErE;;pErE,pEj6rE;pErE,pEj6rE;pErE,pEj6rE;pEjô;pE,pEj;pEje;pE,pEj;pE,pEj;pE,pEj;;;pE,pEj;;pEj;;pE,pEj
2464;paître;;;;;;;;;;;;;;;;;pEsE;;pEtr;;;;;;;;;pE;;;;;;;;;;;pE;pEs;;;;;;;;
2465;peaufiner;;;;;;;;;;;;;;;;;;pOfinE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2466;peigner;;;;;;;;;;;;;;;;pEJE;pEJE;;pEJe;;;;;;;;pEJe;pEJ;;;;;;;;;pEJ;;;;pEJ;;;;;;;
2467;peindre;;pEJi;;;;pEJi;;pêdrE;;;;pêdra;;pEJE;;;pEJE;pEJE;pêdr;;;;;;;pEJô;pEJe;pê;pEJâ;;pêdrE;;pêdrE;;;;pê;pEJe;pê;pEJ;pê;;;;;;pEJ;
2468;peiner;;;;;pEnEr;;;;;;;pEn6ra;;;;;;pEnE;pEne;;;;;;;;pEne;;pEnâ;;;;;;;pEnô;pEn;pEne;pEn;pEn;pEn;;;;;;;
2469;peler;;;;;;;;;;;;;;;;;;;p6le;;;;;;;;;pEl;;;;;;;;;pEl;;;;pEl;;;;;;;
2470;pelleter;;;;;;;;;;;;;;;;;;;pEl6te;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2471;peloter;;;;;;;;;;;;;;;;;p6lOtE;p6lOtE;p6lOte;;;;;;;;;p6lOt;;;;;;;p6lOt6rE;;p6lOt;;;;p6lOt;;;;;;;
2472;pelotonner;;p6lOtOnE;;;;;;;;;;;;;;;;;p6lOtOne;;;;;;;;;;;;;;;;;;;;;p6lOtOn;p6lOtOn;;;;;;;
2473;pencher;pâSam;pâSE;;;pâSEr;pâSa;;;;;;;pâSjô;;;pâSE;pâSE;pâSE;pâSe;;;;;;;pâSô;pâSe;pâS;pâSâ;;pâS6rE;;;pâS6rE;pâS6rE;;pâS;pâSe;pâS;pâS;pâS;;;;;;;
2474;pendouiller;;;;;;;;;;;;;;;;;;;pâduje;;;;;;;;;;;;;;;;;;;;;pâduj;pâduj;;;;;;;
2475;pendre;;;;;;pâdi;;;;pâdra;pâdrô;pâdra;;;;;pâdE;pâdE;pâdr;;;;;;;pâdô;pâde;pâ;pâdâ;;;;;;;;pâ;;pâ;pâd;pâ;;;pâd;;;;pâd
2476;penduler;;;;;;;;;;;;;;;;;;pâdylE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2477;penser;;pâsE;;;pâsEr;pâsa;;pâs6rE;;pâs6ra;pâs6rô;pâs6ra;pâsjô;pâsE;pâsje;pâsE;pâsE;pâsE;pâse;;;;;;;pâsô;pâse;pâs;pâsâ;pâs6rjô;pâs6rE;pâs6rje;pâs6rE;pâs6rE;pâs6rE;pâsô;pâs;pâse;pâs;pâs;pâs;;;pâs;pâsje;pâs;;pâs
2478;percer;;;;;pErsEr;pErsa;;;;;;;;pErsE;;;pErsE;pErsE;pErse;;;;;;;;pErse;pErs;pErsâ;;;;;;;;pErs;pErse;;pErs;pErs;;;;;;;
2479;percevoir;;pErsy;;;;pErsy;;;;;;;;pErs6vE;;pErs6vE;pErs6vE;pErs6vE;pErs6vwar;;;;;;;;pErs6ve;pErswa;pErs6vâ;;;;;;;;pErswa;;pErswa;pErswav;pErswa;;;pErswav;;;;pErswav
2480;percher;;;;;;;;;;;;;;;;;pErSE;;pErSe;;;;;;;;;;;;;;;;;;;;;;pErS;;;;;;;
2481;percuter;;;;;;pErkyta;;;;;;;;;;;;;pErkyte;;;;;;;;;pErkyt;;;;;;;;;pErkyt;;;pErkyt;pErkyt;;;;;;;
2482;perdre;;pErdi;;;pErdir;pErdi;pErdrô;pErdrE;pErdre;pErdra;pErdrô;pErdra;pErdjô;pErdE;pErdje;pErdE;pErdE;pErdE;pErdr;;;;;;pErdi;pErdô;pErde;pEr;pErdâ;pErdriô;pErdrE;pErdrie;pErdrE;pErdrE;pErdrE;pErdô;pEr;pErde;pEr;pErd;pEr;;;pErd;;pErd;;pErd
2483;perdurer;;;;;;;;;;;;;;;;;;pErdyrE;pErdyre;;;;;;;;;;;;;;;;;;;;;;pErdyr;;;;;;;
2484;perfectionner;;;;;;;;;;;;;;pErfEksjOnE;;;;;pErfEksjOne;;;;;;;;;;pErfEksjOnâ;;;;;;;;pErfEksjOn;;;;pErfEksjOn;;;;;;;
2485;perforer;;;;;;;;;;;;;pErfOrjô;;;;;;;;;;;;;;;;;;;;;;;;;;;;pErfOr;;;;;;;
2486;perler;;;;;pErlEr;;;;;;;;;;;;pErlE;pErlE;pErle;;;;;;;;;;;;;;;;;;;;;;pErl;;;;;;;
2487;permettre;;pErmi;;;pErmir;pErmi;pErmEtrô;pErmEtrE;;pErmEtra;pErmEtrô;pErmEtra;;pErmEtE;;;pErmEtE;pErmEtE;pErmEtr;;;;;;pErmi;pErmEtô;pErmEte;pErmE;pErmEtâ;;pErmEtrE;;pErmEtrE;pErmEtrE;pErmEtrE;pErmEtô;pErmE;pErmEte;pErmE;pErmEt;pErmE;;;pErmEt;;;;pErmEt
2488;permuter;;;;;;;;;;;;;;;;;;;pErmyte;;;;;;;;;;;;;;;;;;pErmyt;;;;pErmyt;;;;;;;
2489;perpétrer;;;;;;;;;;;;;;;;;;;pErpEtre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2490;perpétuer;;;;;;;;;;;;pErpEtyra;;;;;pErpEtyE;pErpEtyE;pErpEtye;;;;;;;;;;pErpEtyâ;;;;;;;;pErpEty;;;;;;;;;;;
2491;perquisitionner;;;;;;;;;;;;;;;;;;;pErkizisjOne;;;;;;;;;;;;;;;;;;;;;;pErkizisjOn;;;;;;;
2492;persister;;;;;;pErsista;;;;;;;;pErsistE;;;pErsistE;pErsistE;pErsiste;;;;;;;;pErsiste;pErsist;pErsistâ;;;;;;;;pErsist;pErsiste;pErsist;pErsist;pErsist;;;;;;;
2493;personnaliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pErsOnaliz;;;;;;;
2494;personnifier;;;;;;;;;;;;;;;;;;;pErsOnifje;;;;;;;;;;;;;;;;;;pErsOnifi;;;;;;;;;;;
2495;persuader;;pErsyadE;;;;pErsyada;;;;;;;;pErsyadE;;;;;pErsyade;;;;;;;;;pErsyad;pErsyadâ;;;;;;;;pErsyad;pErsyade;;;pErsyad;;;;;;;
2496;persécuter;;;;;;;;;;;;;;;;;;pErsEkytE;pErsEkyte;;;;;;;;;pErsEkyt;;;;;;;;;pErsEkyt;;;pErsEkyt;pErsEkyt;;;;;;;
2497;persévérer;;;;;;;;;;;;;;;pErsEvErje;;;;pErsEvEre;;;;;;;pErsEvErô;pErsEvEre;pErsEvEr;;;;;;;;;pErsEvEr;pErsEvEre;;;;;;;;;;
2498;perturber;;;;;;pErtyrba;;;;;;;;;;;pErtyrbE;;pErtyrbe;;;;;;;;;pErtyrb;;;;;;;;;pErtyrb;;;;pErtyrb;;;;;;;
2499;pervertir;;;;;;;;;;;;;;;;;;;pErvErtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pErvErtis
2500;peser;;;;;;p6za;;pEz6rE;;;;;;p6zE;;;p6zE;p6zE;p6ze;;;;;;;;p6ze;pEz;p6zâ;;pEz6rE;;;;pEz6rE;;pEz;p6ze;pEz;pEz;pEz;;;;;;;
2501;pester;;;;;;;;;;;;;;;;pEstE;;;pEste;;;;;;;;;;;;;;;;;;pEst;pEste;;;pEst;;;;;;;
2502;peupler;;;;;p6plEr;;;;;;p6pl6rô;;;;;;p6plE;p6plE;;;;;;;;;;p9pl;p6plâ;;;;;;;;;;;p9pl;p9pl;;;;;;;
2503;philosopher;;;;;;;;;;;;;;;;;;;filOzOfe;;;;;;;;;;filOzOfâ;;;;;;;;;;;;filOzOf;;;;;;;
2504;photocopier;;;;;;;;;;;;;;;;;;;fOtOkOpje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2505;photographier;;;;;;;;;;;;;;fOtOgrafjE;;fOtOgrafjE;;;fOtOgrafje;;;;;;;;fOtOgrafje;fOtOgrafi;fOtOgrafjâ;fOtOgrafirjô;;;;;;;fOtOgrafi;;;;fOtOgrafi;;;;;;;
2506;phraser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fraz;;;;;;;
2507;piaffer;;;;;;;;;;;;;;;;;;pjafE;;;;;;;;;;;;;;;;;;;pjaf;;;pjaf;;;;;;;;
2508;piailler;;;;;;;;;;;;;;;;;pjajE;pjajE;pjaje;;;;;;;;;;pjajâ;;;;;;;;pjaj;;;pjaj;pjaj;;;;;;;
2509;pianoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pjanOtâ;;;;;;;;;;;;;;;;;;;
2510;picoler;;;;;;;;;;;;;;;;;;;pikOle;;;;;;;;;pikOl;;;;;;;;;pikOl;;;;pikOl;;;;;;;
2511;picorer;;;;;;;;;;;;;;;;;;pikOrE;pikOre;;;;;;;;;;;;;;;;;;;pikOre;;pikOr;pikOr;;;;;;;
2512;picoter;;;;;;;;;;;;;;;;;pikOtE;pikOtE;;;;;;;;;;;;;;;;;;;;;;;pikOt;;;;;;;
2513;piger;;;;;;;;;;;;;;piZE;;piZE;;piZE;piZe;;;;;;;piZô;piZe;piZ;;;;;;piZ6rE;;;piZ;piZe;piZ;;piZ;;;;;piZ;;
2514;piler;;;;;;;;;;;;;;;;;;pilE;;;;;;;;;;pil;;;;;;;;;;;pil;pil;pil;;;;;pil;;
2515;piller;;;;;;pija;;;;;;;;;;;pijE;;pije;;;;;;;;pije;;pijâ;;;;;;pij6rE;;pij;pije;;pij;;;;;;;;
2516;pilonner;;;;;;;;;;;;;;;;;pilOnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2517;piloter;;;;;;;;;;pilOt6ra;;;;;pilOtje;pilOtE;;pilOtE;pilOte;;;;;;;;;pilOt;;;;;;;;;pilOt;;pilOt;;pilOt;;;;;;;
2518;pinailler;;;;;;;;;;;;;;;;;;;pinaje;;;;;;;;;pinaj;;;;;;;;;;;;;;;;;;;;
2519;pincer;;;;;;pêsa;;;;;;pês6ra;;pêsE;pêsje;;pêsE;pêsE;pêse;;;;;;;;;pês;pêsâ;;;;;;;;pês;pêse;pês;;pês;;;;;;;
2520;piocher;;;;;;;;;;;;;;;;;;;pjOSe;;;;;;;;pjOSe;pjOS;pjOSâ;;;;;;;;pjOS;;;;;;;;;;;
2521;pioncer;;;;;;;;;;;;;;pjôsE;;;;;pjôse;;;;;;;;;pjôs;;;;;;;;;pjôs;;;pjôs;pjôs;;;;;;;
2522;piper;;;;;;;;;;;;;;;;;;;pipe;;;;;;;;;pip;;;;;;;;;pip;;;;pip;;;;;;;
2523;pique-niquer;;;;;;;;;;;;;;;;;;;pik6nike;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2524;piquer;;pikE;;;pikEr;pika;;;;;pik6rô;pik6ra;;pikE;pikje;;pikE;pikE;pike;;;;;;;pikô;pike;pik;pikâ;;;;;;;;pik;pike;pik;pik;pik;;;;;;;pik
2525;piqueter;;;;;;;;;;;;;;;;;pik6tE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2526;pirouetter;;;;;;;;;;;;;;;;;;;pirwEte;;;;;;;;;;;;;;;;;;;;;;pirwEt;;;;;;;
2527;pisser;;;;;;pisa;;;;pis6ra;;;;;;pisE;pisE;pisE;pise;;;;;;pisa;;pise;pis;;;;;;;;;pis;pise;pis;pis;pis;;;;;;;
2528;pister;;;;;;;;;;;;;;;;;;;piste;;;;;;;;piste;;;;;;;;;;;;;pist;pist;;;;;;;pist
2529;pistonner;;;;;;;;;;;;;;;;;;;pistOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2530;pivoter;;;;;;pivOta;;;;;;;;;;;;;pivOte;;;;;;;;;pivOt;pivOtâ;;;;;;;;pivOt;;;;pivOt;;;;;;;
2531;piéger;;;;;;;;;;;;;;;;;;;pjEZe;;;;;;;;;;;;;;;;;;pjEZ;pjEZe;;;pjEZ;;;;;;;pjEZ
2532;piéter;;;;;;pjEta;;;;;;;;;;;;pjEtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2533;piétiner;;;;;;;;pjEtin6rE;;;;pjEtin6ra;;pjEtinE;;pjEtinE;pjEtinE;pjEtinE;pjEtine;;;;;;;;;pjEtin;pjEtinâ;;;;;;;;pjEtin;;;;pjEtin;;;;;;;
2534;placarder;;;;;;;;;;;;;;;;;;;plakarde;;;;;;;;;plakard;;;;;;;;;plakard;;;;plakard;;;;;;;
2535;placer;;plasE;;;;plasa;;;;;;;;plasE;;plasE;plasE;plasE;plase;;;;;;;plasô;plase;plas;plasâ;;;;;;;plasô;plas;plase;plas;;plas;;;;;;;
2536;plagier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plaZjâ;;;;;;;;;;;;;;;;;;;
2537;plaider;;;;;;plEda;plEd6rô;plEd6rE;plEd6re;plEd6ra;;;;;;;;plEdE;plEde;;;;;;;;plEde;plEd;plEdâ;;;;;;;;plEd;plEde;plEd;plEd;plEd;;;;;;;
2538;plaindre;;plEJi;;;plEJir;plEJi;;plêdrE;;;;;;plEJE;;plEJE;plEJE;plEJE;plêdr;;;;;;;plEJô;plEJe;plê;plEJâ;;;;;;plêdrE;;plê;plEJe;plê;plEJ;plê;;;;;;;plEJ
2539;plaire;;ply;;ply;plyr;ply;;plErE;plEre;plEra;;plEra;plEzjô;plEzE;;plEzE;plEzE;plEzE;plEr;;;;;;;;;plE;plEzâ;;;;plErE;plErE;plErE;plEzô;plE;plEze;plE;plEz;plE;;;plEz;;plEz;;plEz
2540;plaisanter;;plEzâtE;;;;;;;;;;;;plEzâtE;;plEzâtE;;plEzâtE;plEzâte;;;;;;;plEzâtô;plEzâte;plEzât;plEzâtâ;;;;;plEzât6rE;;;plEzât;plEzâte;plEzât;plEzât;plEzât;;;;;;;plEzât
2541;plancher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plâS;;;;;;;;;;;
2542;planer;;;;;;plana;;;;;;;;planE;;planE;;planE;plane;;;;;;;;plane;;planâ;;;;;;plan6rE;;plan;;;plan;plan;;;;;;;plan
2543;planifier;;;;;;;;;;;;;;;;;;;planifje;;;;;;;;;planifi;;;;;;;;;planifi;;;;planifi;;;;;;;
2544;planquer;;;;;;;;;;;;plâk6ra;;plâkE;;plâkE;;plâkE;plâke;;;;;;;plâkô;plâke;plâk;;;;;;;;;plâk;plâke;plâk;plâk;plâk;;;;;;;
2545;planter;;plâtE;;;plâtEr;plâta;plât6rô;plât6rE;;plât6ra;;;;plâtE;;plâtE;plâtE;plâtE;plâte;;;;;;;;plâte;plât;plâtâ;;;;;;;;plât;plâte;plât;plât;plât;;;;;;;
2546;plaquer;;plakE;;;plakEr;plaka;;;;;;plak6ra;;plakE;;plakE;;plakE;plake;;;;;;;;;plak;plakâ;;;;;;;;plak;;;plak;plak;;;;;;;
2547;plastiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plastik;;;;;;;
2548;pleurer;;pl6rE;;;;pl6ra;;pl6r6rE;;pl6r6ra;;pl6r6ra;;pl6rE;pl6rje;pl6rE;pl6rE;pl6rE;pl6re;;;;;;;;pl6re;pl9r;pl6râ;;pl6r6rE;;pl6r6rE;;;pl6rô;pl9r;pl6re;pl9r;pl9r;pl9r;;pl6rjô;;;;pl9r;pl9r
2549;pleurnicher;;;;;;pl9rniSa;;;;;;;;pl9rniSE;;;;pl9rniSE;pl9rniSe;;;;;;;;pl9rniSe;pl9rniS;pl9rniSâ;;;;;;;;pl9rniS;pl9rniSe;;;pl9rniS;;;;;;;
2550;pleuvoir;;;;;;;;;;;;pl6vra;;;;;pl6vE;pl6vE;pl6vwar;;;;;;;;;;;;;;;;;;;;;pl9v;pl2;;;;;;;pl9v
2551;plier;;pljE;;;pliEr;plja;;;;;;;;;;;;pliE;plie;;;;;;;;plie;pli;pliâ;;;;;;plirE;;pli;;;pli;pli;;;;;;;pli
2552;plisser;;;;;;plisa;;;;;;;;;;;plisE;plisE;plise;;;;;;;;;plis;plisâ;;;;;;;;;;;;plis;;;;;;;
2553;plomber;;;;;;;;;;;;;;;;;plôbE;plôbE;plôbe;;;;;;;;;plôb;;;;;;;;;plôb;;plôb;;plôb;;;;;;;
2554;plonger;;plôZE;;;plôZEr;plôZa;;plôZ6rE;;;;plôZ6ra;;plôZE;;plôZE;plôZE;plôZE;plôZe;;;;;;;;plôZe;plôZ;plôZâ;;;;;;;plôZô;plôZ;plôZe;plôZ;plôZ;plôZ;;;plôZ;;;;plôZ
2555;ployer;;;;;;;;;;;;;;;;;plwajE;;plwaje;;;;;;;;;;plwajâ;;;;;;;;;;;;plwa;;;;;;;
2556;plucher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plyS;;;;;;;
2557;plumer;;;;;;;;;;;;;;;;;;plymE;plyme;;;;;;;;;plym;;;;;;;;;plym;;;plym;plym;;;;;;;
2558;plâtrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;platr;;;;;;;
2559;plébisciter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;plEbisit;;;;;;;
2560;pocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pOS;;;;;;;
2561;poignarder;;;;;;;;;;;;;;;;;;pwaJardE;pwaJarde;;;;;;;;;;;;;;;;;;;pwaJarde;;;pwaJard;;;;;;;
2562;poiler;;;;;;;;;;;;;;;;;;pwalE;;;;;;;;;;;pwalâ;;;;;;;;pwal;;;;;;;;;;;
2563;poindre;;;;;;;;;;;;pwêdra;;;;;;;pwêdr;;;;;;;;;;;;;;;;;;;;;;pwê;;;;;;;
2564;pointer;;;;;;pwêta;;pwêt6rE;;;;;;;;;pwêtE;pwêtE;pwête;;;;;;;;pwête;pwêt;pwêtâ;;pwêt6rE;;;;pwêt6rE;;pwêt;pwête;pwêt;pwêt;pwêt;;;;;;;
2565;poinçonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pwêsOn6rE;;;;;;;;;;;;;;
2566;poireauter;;;;;;;;;;;;;;;;;;pwarOtE;pwarOte;;;;;;;;;;;;;;;;;;pwarot;;;;pwarot;;;;;;;
2567;poisser;;;;;;;;;;;;;;;;;;pwasE;pwase;;;;;;;;;pwas;;;;;;;;;pwas;;;;pwas;;;;;;;
2568;poivrer;;;;;;;;;;;;;;;;;;;pwavre;;;;;;;;pwavre;pwavr;;;;;;;;;pwavr;;;;pwavr;;;;;;;
2569;policer;;;;;;;;;;;;;;;;;;;;;;;;;;;;pOlis;;;;;;;;;;;;;pOlis;;;;;;;
2570;polir;;;;;;;;;;;;;;pOlisE;;;;;pOlir;;;;;;;;;;;;;;;;;;pOli;;pOli;;pOli;;;;;;;
2571;polluer;;;;;;;;;;;;;;;;;;;pOlye;;;;;;;;pOlye;;;;;;;;;;pOly;;;;;;;;;;;
2572;polycopier;;;;;;;;;;;;;;;;;;;pOlikOpje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2573;pommer;;;;;;;;;;;;;;;;;;;;;;;;;;;;pOm;;;;;;;;;;;;;pOm;;;;;pOm;;
2574;pomper;;;;;;;;;;;;;;;;;;pôpE;pôpe;;;;;;;;pôpe;pôp;pôpâ;;;;;;;;pôp;pôpe;pôp;pôp;pôp;;;;;pôp;;
2575;pomponner;;;;;;;;;;;;;;;;;;pôpOnE;pôpOne;;;;;;;;;pôpOn;;;;;;;;;pôpOn;;;;pôpOn;;;;;;;
2576;poncer;;;;;;;;;;;;;;;;;;pôsE;;;;;;;;;;pôs;;;;;;;;;pôs;;;;pôs;;;;;pôs;;
2577;ponctuer;;;;;;;;;;;;;;;;;pôktyE;pôktyE;;;;;;;;;;;;;;;;;;;;;;pôkty;;;;;;;;
2578;pondre;;;;;;;;;;;;;;;;;pôdE;pôdE;pôdr;;;;;;;;;;pôdâ;;;;pôdrE;pôdrE;;;;;;pôd;pô;;;pôd;;;;
2579;ponter;;;;;;;;;;;;;;;;;;;;;;;;;;;;pôt;;;;;;;;;;;;;pôt;;;;;;;
2580;pontifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pôtifjâ;;;;;;;;;;;;;;;;;;;
