;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMP;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
752;conserver;;;;;;kôsErva;;;;;;kôsErv6ra;kôsErvjô;;;;kôsErvE;kôsErvE;kôsErve;;;;;;;;;kôsErv;kôsErvâ;;;;;kôsErv6rE;kôsErv6rE;;kôsErv;kôsErve;;kôsErv;kôsErv;;;;;;;
753;considérer;;kôsidErE;;;kôsidErEr;kôsidEra;;;;;;kôsidEr6ra;;kôsidErE;;kôsidErE;kôsidErE;kôsidErE;kôsidEre;;;;;;kôsidEra;kôsidErô;kôsidEre;kôsidEr;kôsidErâ;;;;;;;kôsidErô;kôsidEr;kôsidEre;kôsidEr;kôsidEr;kôsidEr;;;kôsidEr;;;;kôsidEr
754;consigner;;;;;;kôsiJa;;;;;;;;;;;;;kôsiJe;;;;;;;;kôsiJe;;;;;;;;;;;kôsiJe;;;kôsiJ;;;;;;;
755;consister;;;;;kôsistEr;kôsista;;;;;;;;;;;kôsistE;kôsistE;kôsiste;;;;;;;;;kôsist;kôsistâ;;;;;kôsist6rE;;;;;;kôsist;kôsist;;;;;;;kôsist
756;consoler;;;;;;kôsOla;;;;;kôsOl6rô;kôsOl6ra;;kôsOlE;;kôsOlE;;kôsOlE;kôsOle;;;;;;;;;kôsOl;kôsOlâ;;;;;;;;kôsOl;;;kôsOl;kôsOl;;;;;;;
757;consolider;;;;;;;;;;;;;;;;;kôsOlidE;kôsOlidE;kôsOlide;;;;;;;;;;kôsOlidâ;;;;;;;;;;;;;;;;;;;
758;consommer;;;;;;;;;;;;;;;;;;kôsOmE;kôsOme;;;;;;;;kôsOme;kôsOm;kôsOmâ;;;;;;kôsOm6rE;;kôsOm;kôsOme;;kôsOm;kôsOm;;;;;;;
759;conspirer;;;;;;;;;;;;;;;;;;kôspirE;;;;;;;;;;;;;;;;;;;kôspir;kôspire;;kôspir;kôspir;;;;;;;
760;conspuer;;;;;kôspyEr;;;;;;;;;;;;;;kôspye;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
761;constater;;kôstatE;;;kôstatEr;kôstata;;;kôstat6re;;;kôstat6ra;;kôstatE;;;;kôstatE;kôstate;;;;;;;kôstatô;kôstate;kôstat;kôstatâ;;;;;;;kôstatô;kôstat;kôstate;;kôstat;kôstat;;;;;;;kôstat
762;constituer;;;;;;kôstitya;;;;;;;;;;;kôstityE;kôstityE;kôstitye;;;;;;;;kôstitye;kôstity;kôstityâ;;;;;;kôstityrE;;kôstity;kôstitye;;kôstity;kôstity;;;;;;;
763;construire;;kôstrHizi;;;kôstrHizir;kôstrHizi;kôstrHirô;;;;kôstrHirô;kôstrHira;;kôstrHizE;;;kôstrHizE;;kôstrHir;;;;;;;kôstrHizô;;kôstrHi;kôstrHizâ;;;;;;kôstrHirE;kôstrHizô;kôstrHi;kôstrHize;kôstrHi;kôstrHiz;kôstrHi;;;;;;;kôstrHiz
764;consulter;;;;;kôsyltEr;kôsylta;;;;;;;;;;;kôsyltE;kôsyltE;kôsylte;;;;;;;kôsyltô;kôsylte;kôsylt;kôsyltâ;;;;;;;;kôsylt;kôsylte;kôsylt;kôsylt;kôsylt;;;;;;;
765;consumer;;;;;;;;;;;;;;;;;kôsymE;kôsymE;kôsyme;;;;;;kôsyma;;kôsyme;kôsym;;;;;;;;;kôsym;;;;kôsym;;;;;;;
766;contacter;;;;;;kôtakta;;kôtakt6rE;;;;kôtakt6ra;;;;;;kôtaktE;kôtakte;;;;;;;kôtaktô;kôtakte;kôtakt;;;;;;;kôtakt6rE;;kôtakt;kôtakte;;kôtakt;kôtakt;;;;;;;
767;contaminer;;;;;;;;;;;;;;;;;;kôtaminE;kôtamine;;;;;;;;;kôtamin;;;;;;;;;kôtamin;;;;kôtamin;;;;;;;
768;contempler;kôtâplam;kôtâplE;;;;kôtâpla;;;;;;;;kôtâplE;;kôtâplE;kôtâplE;kôtâplE;kôtâple;;;;;;;kôtâplô;;kôtâpl;kôtâplâ;;;;;kôtâpl6rE;;;kôtâpl;;;kôtâpl;kôtâpl;;;;;;;
769;contenir;;;;;;;;;;;;kôtjêdra;;;;;kôt6nE;kôt6nE;kôt6nir;;;;;;kôtê;;;kôtjê;kôt6nâ;;;;;;;;kôtjê;;kôtjê;kôtjEn;kôtjê;;;;;;;
770;contenter;;kôtâtE;;;;kôtâta;;kôtât6rE;;;;kôtât6ra;;kôtâtE;kôtâtje;kôtâtE;kôtâtE;kôtâtE;kôtâte;;;;;;;kôtâtô;kôtâte;kôtât;kôtâtâ;;kôtât6rE;;kôtât6rE;;kôtât6rE;kôtâtô;kôtât;kôtâte;kôtât;kôtât;kôtât;;;;;;;kôtât
771;conter;;;;;;kôta;;;;;;;;;;;;kôtE;kôte;;;;;;;;kôte;;;;;;;;;;kôt;;;kôt;kôt;;;;;;kôt;
772;contester;;;;;;;;;;;;;;;;kôtEstE;kôtEstE;kôtEstE;kôtEste;;;;;;;;kôtEste;kôtEst;;;;;;;;;kôtEst;kôtEste;kôtEst;kôtEst;kôtEst;;;;;;;
773;continuer;;kôtinyE;;;kôtinyEr;kôtinya;kôtinyrô;kôtinyrE;kôtinyre;kôtinyra;kôtinyrô;kôtinyra;kôtinyjô;kôtinyE;;kôtinyE;kôtinyE;kôtinyE;kôtinye;;;;;;kôtinya;kôtinyô;kôtinye;kôtiny;kôtinyâ;;;;kôtinyrE;kôtinyrE;kôtinyrE;kôtinyô;kôtiny;kôtinye;kôtiny;kôtiny;kôtiny;;kôtinyjô;;;kôtiny;;kôtiny
774;contorsionner;;;;;;;;;;;;;;;;;;kôtOrsjOnE;;;;;;;;;;kôtOrsjOn;;;;;;;;;;;;;;;;;;;;
775;contourner;;kôturnE;;;kôturnEr;kôturna;;;;;;;;;;;;kôturnE;kôturne;;;;;;;kôturnô;;kôturn;kôturnâ;;;;;;;;kôturn;;;kôturn;kôturn;;;;;;;
776;contracter;;;;;;kôtrakta;;;;;;;;;;;;kôtraktE;kôtrakte;;;;;;;;;kôtrakt;kôtraktâ;;;;;;;;kôtrakt;;;kôtrakt;kôtrakt;;;;;;;
777;contraindre;;;;;;kôtrEJi;;;;;;;;;;;;kôtrEJE;kôtrêdr;;;;;;;;;;kôtrEJâ;;;;;;;;kôtrê;;;kôtrEJ;kôtrê;;;;;;;
778;contrarier;;;;;;kôtrarja;;;;;;;;;;;;kôtrarjE;kôtrarje;;;;;;;;kôtrarje;kôtrari;;;;;;;kôtrarirE;;kôtrari;kôtrarje;;kôtrari;kôtrari;;;;;;;
779;contraster;;;;;;;;;;;;;;;;;kôtrastE;kôtrastE;;;;;;;;;;;;;;;;;;;;;;kôtrast;kôtrast;;;;;;;
780;contre-attaquer;;;;;;;;;;;;;;;;;;;kôtratake;;;;;;;;;;;;;;;;;kôtratakô;kôtratak;;;;;;;;;;;
781;contrebalancer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôtr6balâs;;;;kôtr6balâs;;;;;;;
782;contrecarrer;;;;;;;;;;;;;;kôtr6karE;;;;;kôtr6kare;;;;;;;;;;;;;;;;;;;;kôtr6kar;;kôtr6kar;;;;;;;
783;contredire;;;;;;;;;;;;;;;;;kôtr6dizE;kôtr6dizE;kôtr6dir;;;;;;;;;kôtr6di;;;;;;;kôtr6dirE;;;;kôtr6di;kôtr6diz;kôtr6di;;;;;;;
784;contrefaire;;;;;;;;;;;;;;;;;;;kôtr6fEr;;;;;;;;;;kôtr6f6zâ;;;;;;;;;;;;kôtr6fE;;;;;;;
785;contreficher;;;;;;;;;;;;;;kôtr6fiSE;;;;kôtr6fiSE;;;;;;;;;;;;;;;;;;;kôtr6fiS;;;;kôtr6fiS;;;;;;;
786;contrefoutre;;;;;;;;;;;;;;;;;;kôtr6futE;;;;;;;;;;;;;;;;;;;kôtr6fu;;kôtr6fu;;kôtr6fu;;;;;;;
787;contrer;;;;;;;;;;;;;;;;;;;kôtre;;;;;;;;;kôtr;;;;;;;;;kôtr;;kôtr;;kôtr;;;;;;;
788;contresigner;;;;;;;;;;;;;;;;;;;kôtr6siJe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
789;contrevenir;;;;;;;;;;;;;;;;;kôtr6v6nE;;kôtr6v6nir;;;;;;;;;;;;;;;;;;;;;;kôtr6vjê;;;;;;;
790;contribuer;;;;;kôtribyEr;kôtribya;;;;;;kôtribyra;;;;;kôtribyE;kôtribyE;kôtribye;;;;;;;;;kôtriby;;;;;;;kôtribyrE;;kôtriby;kôtribye;;kôtriby;kôtriby;;;;;;;
791;contrôler;;;;;;;;;;;kôtrOl6rô;kôtrOl6ra;;kôtrOlE;;kôtrOlE;;kôtrOlE;kôtrOle;;;;;;;kôtrOlô;kôtrOle;kôtrol;kôtrOlâ;;;;;;kôtrOl6rE;kôtrOlô;kôtrol;kôtrOle;kôtrol;kôtrol;kôtrol;;;;;kôtrol;;kôtrol
792;convaincre;;;;;;kôvêki;;kôvêkrE;;kôvêkra;;;;;;;;;kôvêkr;;;;;;;;kôvêke;kôvê;kôvêkâ;;;;;;kôvêkrE;;kôvê;kôvêke;;;kôvê;;;kôvêk;;;;kôvêk
793;convenir;;;;;kôvêr;kôvê;;;kôvjêdre;;kôvjêdrô;kôvjêdra;;;;kôv6nE;kôv6nE;kôv6nE;kôv6nir;;;;;;;;kôv6ne;kôvjê;;;;;;;kôvjêdrE;;kôvjê;;kôvjê;kôvjEn;kôvjê;;;;;;;kôvjEn
794;converger;;;;;;;;;;;;;;;;;;;kôvErZe;;;;;;;;;;;;;;;;;;;;;;kôvErZ;;;;;;;
795;converser;kôvErsam;;;;;;;;;;;;;;;;kôvErsE;kôvErsE;kôvErse;;;;;;;;;;kôvErsâ;;;;;;;kôvErsô;;;;kôvErs;;;;;;;;
796;convertir;;;;;;;;;;;;;;;;;;;kôvErtir;;;;;;;;;kôvErti;;;;;;;;;kôvErti;;kôvErti;;kôvErti;;;;;;;
797;convier;;;;;;kôvja;;;;;;;;;;;kôvjE;;kôvje;;;;;;;;;kôvi;;;;;;;;;kôvi;kôvje;;kôvi;kôvi;;;;;;;
798;convoiter;;;;;;;;;;;;;;kôvwatE;;;kôvwatE;;kôvwate;;;;;;;;;;;;;;;;;;kôvwat;;;kôvwat;kôvwat;;;;;;;
799;convoler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kôvOlâ;;;;;;;;;;;;;;;;;;;
800;convoquer;;;;;;kôvOka;;;;;;;;;;;;kôvOkE;kôvOke;;;;;;;;kôvOke;kôvOk;kôvOkâ;;;;;;kôvOk6rE;;kôvOk;kôvOke;;;kôvOk;;;;;;;
801;convoyer;;;;;;;;;;;;;;;;;;kôvwajE;kôvwaje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
802;convulser;;;;;;;;;;;;;;;;;;kôvylsE;;;;;;;;;;;;;;;;;;;;;;;kôvyls;;;;;;;
803;coopérer;;;;;;;;;;;;kOOpEr6ra;;;;;;;kOOpEre;;;;;;;;kOOpEre;kOOpEr;;;;;;;;;kOOpEr;kOOpEre;kOOpEr;;kOOpEr;;;;;;;
804;coordonner;;;;;;;;;;;;;;;;;;;;;;;;;;kOOrdOnô;;;;;;;;;;;kOOrdOn;;;;;;;;;;;
805;copier;;;;;;kOpja;;;;kOpira;;;;kOpjE;;;;;kOpje;;;;;;;;kOpje;kOpi;kOpjâ;;;;;;;;kOpi;;;kOpi;kOpi;;;;;;;
806;corder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOrd;;;;;;;
807;corner;;;;;kOrnEr;;;;;;;;;;;;;;kOrne;;;;;;;;;;kOrnâ;;;;;;;;;;;;;;;;;;;
808;correspondre;;;;;;;;;;;;;;kOrEspôdE;;;;kOrEspôdE;kOrEspôdr;;;;;;kOrEspôdi;;;;kOrEspôdâ;;;;;;kOrEspôdrE;;kOrEspô;kOrEspôde;kOrEspô;kOrEspôd;kOrEspô;;;;;;kOrEspôd;
809;corriger;;;;;;kOriZa;;kOriZ6rE;;;;kOriZ6ra;;;;kOriZE;;kOriZE;kOriZe;;;;;;;;kOriZe;kOriZ;;;;;;;kOriZ6rE;;kOriZ;;;;kOriZ;;;;;;;
810;corroborer;;;;;;;;;;;;;;;;;;kOrObOrE;kOrObOre;;;;;;;;;;;;;;;;;;;;;;kOrObOr;;;;;;;
811;corroder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOrOd;;;;;;;;
812;corrompre;;;;;;;;;;;;;;;;;;;kOrôpr;;;;;;;;;kOrô;;;;;;;;;kOrô;;kOrô;;;;;kOrôp;;;;
813;corser;;;;;;;;;;;;;;;;;;;kOrse;;;;;;;;;;;;;;;;;;;;;;kOrs;;;;;;;kOrs
814;costumer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOstym;;
815;coter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOt;;;;;;kOt;;
816;cotiser;;;;;;;;;;;;;;;;;;;kOtize;;;;;;;;;;;;;;;;;;;;kOtiz;;;;;;;;;
817;coucher;kuSam;kuSE;;;kuSEr;kuSa;kuS6rô;kuS6rE;kuS6re;kuS6ra;;kuS6ra;kuSjô;kuSE;kuSje;kuSE;kuSE;kuSE;kuSe;;;;;;kuSa;kuSô;kuSe;kuS;kuSâ;;kuS6rE;;;kuS6rE;kuS6rE;kuSô;kuS;kuSe;kuS;kuS;kuS;;;kuS;;kuS;;kuS
818;coudoyer;;;;;;;;;;;;;;;;;kudwajE;;kudwaje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819;coudre;;;;;;;;;;;;;;;kuzje;;kuzE;kuzE;kudr;;;;;;;;;;kuzâ;;;;;;;;;;ku;;ku;;;;;;;
820;couillonner;;;;;;;;;;;;;;;;;;;kujOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
821;couler;;;;;kulEr;kula;;kul6rE;kul6re;;;kul6ra;;;;;kulE;kulE;kule;;;;;;;;kule;kul;kulâ;;;;;kul6rE;kul6rE;;kul;kule;kul;kul;kul;;;;;;;kul
822;coulisser;;;;;;kulisa;;;;;;;;;;;;;;;;;;;;;;;kulisâ;;;;;;;;;;;kulis;;;;;;;;
823;couper;;kupE;;;kupEr;kupa;kup6rô;kup6rE;kup6re;kup6ra;;kup6ra;;kupE;;kupE;kupE;kupE;kupe;;;;;;;kupô;kupe;kup;kupâ;;;;kup6rE;kup6rE;kup6rE;kupô;kup;kupe;kup;kup;kup;;;kup;;;;kup
824;coupler;;;;;;;;;;;;;;;;;;;kuple;;;;;;;;;;;;;;;;;;;;;;kupl;;;;;;;
825;courber;;;;;;kurba;;;;;;;;;;;kurbE;kurbE;kurbe;;;;;;;;;kurb;kurbâ;;;;;;;;kurb;;;;kurb;;;;;;;kurb
826;courir;;kury;;;kuryr;kury;kurrô;;kurre;;;kurra;kurjô;kurE;kurje;kurE;kurE;kurE;kurir;;;;;;;kurô;kure;kur;kurâ;;kurrE;;;;kurrE;kurô;kur;kure;kur;kur;kur;;;kur;;kur;;kur
827;couronner;;;;;;kurOna;;;;;;;;;;;;kurOnE;kurOne;;;;;;;;;kurOn;kurOnâ;;;;;;;;kurOn;;;kurOn;kurOn;;;;;;;
828;courre;;;;;;;;;;;;;;;;;;;kur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
829;courroucer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kurus;;;;;;;
830;courser;;;;;;;;;;;;;;;;;;;kurse;;;;;;;;;;;;;;;;;;;;;;kurs;;;;;;;
831;court-circuiter;;;;;;;;;;;;;;;;;;;kursirkHite;;;;;;;;;kursirkHit;;;;;;;;;;;;;kursirkHit;;;;;;;
832;courtiser;;;;;;;;;;;;;;;kurtizje;;;;kurtize;;;;;;;;;kurtiz;;;;;;;;;kurtiz;;;;kurtiz;;;;;;;
833;couver;;;;;;;;;;;;;;;;;;kuvE;kuve;;;;;;;;;;kuvâ;;;;;;;;kuv;;;kuv;kuv;;;;;;kuv;
834;couvrir;;;;;kuvrir;kuvri;;;;;kuvrirô;kuvrira;;;;kuvrE;kuvrE;kuvrE;kuvrir;;;;;;kuvri;kuvrô;kuvre;kuvr;kuvrâ;;;;kuvrirE;kuvrirE;kuvrirE;kuvrô;kuvr;kuvre;kuvr;kuvr;kuvr;;;;;kuvr;;
835;coïncider;;;;;;;;;;;;;;;;;kOêsidE;kOêsidE;kOêside;;;;;;;;;kOêsid;kOêsidâ;;;;;;;;;;;kOêsid;kOêsid;;;;;;;
836;coûter;;;;;;kuta;;;;;kut6rô;kut6ra;;kutE;;;kutE;kutE;kute;;;;;;;;;kut;kutâ;;;;;;kut6rE;;kut;;kut;kut;kut;;;;;;;
837;cracher;;;;;;kraSa;;;;;;;;kraSE;;kraSE;kraSE;kraSE;kraSe;;;;;;;;kraSe;kraS;kraSâ;;;;kraS6rE;;kraS6rE;;kraS;kraSe;kraS;kraS;kraS;;;;;kraS;;
838;crachoter;;;;;;;;;;;;;;;;;kraSOtE;;;;;;;;;;;;;;;;;;;;;;;;kraSOt;;;;;;;
839;crailler;;;;;;;;;;;;;;;;;krajE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
840;craindre;;krEJi;;;;krEJi;;;;;;;krEJô;krEJE;krEJe;krEJE;krEJE;krEJE;krêdr;;;;;;;krEJô;krEJe;krê;krEJâ;;;krêdrie;krêdrE;;;krEJô;krê;krEJe;krê;krEJ;krê;;;krEJ;;;;krEJ
841;cramer;;;;;;;;;;;;;;;;;;;krame;;;;;;;;;kram;;;;;;;;;kram;krame;;;kram;;;;;;;
842;cramponner;;;;;;krâpOna;;;;;;;;krâpOnE;;krâpOnE;;krâpOnE;krâpOne;;;;;;;krâpOnô;krâpOne;krâpOn;;;;;;;;;krâpOn;;;;krâpOn;;;;;;;
843;crapahuter;;;;;;;;;;;;;;;;;;;krapayte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
844;craqueler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krakEl;krakEl;;;;;;;
845;craquer;;;;;krakEr;kraka;;;;;;;;;;;krakE;krakE;krake;;;;;;;;krake;krak;krakâ;;;;;;;;krak;;krak;krak;krak;;;;;;;
846;cravacher;;;;;;;;;;;;;;;;;;kravaSE;;;;;;;;;;;;;;;;;;;kravaS;;;;kravaS;;;;;;;
847;cravater;;;;;;;;;;;;;;;;;;;;;;;;;;;;kravat;;;;;;;;;kravat;;;;;;;;;;;
848;crayonner;;;;;;;;;;;;;;;;;;krEjOnE;krEjOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
849;creuser;;;;;kr6zEr;kr6za;;;;;;;kr6zjô;kr6zE;;kr6zE;kr6zE;kr6zE;kr6ze;;;;;;;kr6zô;kr6ze;kr2z;kr6zâ;;;;;;;kr6zô;kr2z;kr6ze;kr2z;kr2z;kr2z;;;;;;;kr2z
850;crever;;;;;;kr6va;krEv6rô;;krEv6re;krEv6ra;;krEv6ra;;kr6vE;;kr6vE;kr6vE;kr6vE;kr6ve;;;;;;;kr6vô;;krEv;kr6vâ;;krEv6rE;;krEv6rE;;krEv6rE;kr6vô;krEv;kr6ve;krEv;krEv;krEv;;;;;;;krEv
851;criailler;;;;;;;;;;;;;;;;;;kriajE;;;;;;;;;;;;;;;;;;;;;;kriaj;;;;;;;;
852;cribler;;;;;;;;;;;;;;;;;;;;;;;;;;;;kribl;;;;;;;;;kribl;;;;;;;;;;;
853;crier;;krjE;;;kriEr;krja;;;;krira;krirô;krira;;kriE;;kriE;kriE;kriE;krie;;;;;;;;krie;kri;kriâ;;;;;;krirE;kriô;kri;krie;kri;kri;kri;;;;;kri;;
854;crisper;;;;;;krispa;;;;;;;;;;;krispE;krispE;krispe;;;;;;;;;krisp;;;;;;;;;krisp;;;;krisp;;;;;;;
855;crisser;;;;;krisEr;;;;;;;;;;;;krisE;krisE;krise;;;;;;;;;kris;krisâ;;;;;;;;kris;;;kris;kris;;;;;;;
856;cristalliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kristaliz;;;;;;;
857;critiquer;;;;;;;;;;;;;;kritikE;;kritikE;;kritikE;kritike;;;;;;;;kritike;kritik;;;kritik6rE;;;;;;kritik;;kritik;kritik;kritik;;;;;;;
858;croasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krOas;;;;;;;;
859;crocheter;;;;;;;;;;;;;;;;;;krOS6tE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860;croire;krym;kry;;kry;kryr;kry;;krwarE;krware;krwara;krwarô;krwara;krwajô;krwajE;krwaje;krwajE;krwajE;krwajE;krwar;;;;;;kry;krwajô;krwaje;krwa;krwajâ;;krwarE;krwarje;krwarE;;krwarE;krwajô;krwa;krwaje;krwa;krwa;krwa;;;krwa;krwaje;krwa;;krwa
861;croiser;;krwazE;;;krwazEr;krwaza;;;;;krwaz6rô;;krwazjô;krwazE;;krwazE;krwazE;krwazE;krwaze;;;;;;;krwazô;krwaze;krwaz;krwazâ;;;;;krwaz6rE;krwaz6rE;krwazô;krwaz;krwaze;krwaz;krwaz;krwaz;;;;;;;
862;croquer;;krOkE;;;;krOka;krOk6rô;;;;;;;;;;krOkE;krOkE;krOke;;;;;;;;;krOk;krOkâ;;;;;;;;krOk;;;krOk;krOk;;;;;;;
863;crotter;;;;;;;;;;;;;;;;;;krOtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
864;crouler;;;;;;;;;;;;;;;;;krulE;krulE;krule;;;;;;krula;;;krul;;;;;;;krul6rE;krulô;krul;;;;krul;;;;;;;
865;croupir;;;;;;;;;;;;;;;;;krupisE;krupisE;krupir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
866;croître;;;;;;kry;;;;;;;;;;;krwasE;krwasE;krwatr;;;;;;;;;;krwasâ;;;;;;;;;;;krwas;krwa;;;;;;;krwas
867;crucifier;;;;;;;;;;;;;;;;;;;krysifje;;;;;;;;;krysifi;;;;;;;;;;krysifje;;;;;;;;;;
868;crâner;;;;;;;;;;;;;;;;;;;krane;;;;;;;;;kran;;;;;;;;;kran;;kran;;kran;;;;;;;
869;crécher;;;;;;;;;;;;;;;;;;;krESe;;;;;;;;;;;;;;;;;;krES;;;krES;krES;;;;;;;
870;créer;;krEE;;;;krEa;;;;;;;;krEE;krEje;;krEE;krEE;krEe;;;;;;;krEô;krEe;kre;krEâ;;krErE;;;;krErE;;kre;krEe;;kre;kre;;;;;;;kre
871;crépir;;;;;;;;;;;;;;;;;;;krEpir;;;;;;;;;;;;;;;;;;;krEpise;;;;;;;;;;
872;crépiter;;;;;krEpitEr;krEpita;;;;;krEpit6rô;;;;;;krEpitE;krEpitE;;;;;;;;;;krEpit;;;;;;;;;;;;krEpit;krEpit;;;;;;;
873;crêper;;;;;;;;;;;;;;;;;;;krEpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
874;cuber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kyb;;kyb;;;;;;;
875;cueillir;;k6ji;;;;k6ji;;;;k6j6ra;;;;k6jE;;k6jE;;k6jE;k6jir;;;;;;;;;k9j;k6jâ;;;;;;;;k9j;k6je;k9j;k9j;k9j;;;;;;;
876;cuirasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kHiras;;;;;;;;;;;
877;cuire;;;;;;kHizi;;;;;;kHira;;;;;;kHizE;kHir;;;;;;;;;kHi;kHizâ;;;;;;;;kHi;;kHi;kHiz;kHi;;;;;;;kHiz
878;cuisiner;;;;;;;;;;;;kHizin6ra;;;;kHizinE;;kHizinE;kHizine;;;;;;;;;kHizin;;;;;;;;;kHizin;kHizine;kHizin;kHizin;kHizin;;;;;;;kHizin
879;culbuter;;;;;;kylbyta;;;;;;;;;;;kylbytE;kylbytE;kylbyte;;;;;;;;;kylbyt;;;;;;;;;kylbyt;;;;;;;;;;;
880;culminer;;;;;;;;;;;;;;;;;;;kylmine;;;;;;;;;;;;;;;;;;;;;;kylmin;;;;;;;
881;culotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kylOt;;;;;;;
882;culpabiliser;;;;;;;;;;;;;;;;;;;kylpabilize;;;;;;;;kylpabilize;;;;;;;;;;kylpabiliz;;;;kylpabiliz;;;;;;;
883;cultiver;;;;;;;;;;;;kyltiv6ra;;;;;kyltivE;kyltivE;kyltive;;;;;;;;kyltive;kyltiv;kyltivâ;;;;;;;kyltivô;kyltiv;kyltive;kyltiv;kyltiv;kyltiv;;;;;;;
884;cumuler;;;;;;;;;;;;kymyl6ra;;;;;;;;;;;;;;;;;;;;;;;;;kymyl;kymyle;;;kymyl;;;;;;;
885;curer;;;;;;;;;;;;;;;;;;kyrE;kyre;;;;;;;;;;;;;;;;;;kyr;;;;kyr;;;;;;;
886;cuver;;;;;;;;;;;;;;;;;;kyvE;kyve;;;;;;;;;kyv;;;;;;;;;kyv;;;;;;;;;;;
887;câbler;;;;;;kabla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kabl;;;;kabl;;;;;;;
888;câliner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kalin;;;;;;;;;;;
889;céder;;sEdE;;;;sEda;sEd6rô;sEd6rE;;;sEd6rô;sEd6ra;sEdjô;sEdE;;;sEdE;sEdE;sEde;;;;;;;sEdô;sEde;sEd;sEdâ;;sEd6rE;;;;sEd6rE;sEdô;sEd;sEde;;sEd;sEd;;;;;;;
890;célébrer;;;;;;sElEbra;sElEbr6rô;;;;;;;;;;sElEbrE;sElEbrE;sElEbre;;;;;;;sElEbrô;;sElEbr;sElEbrâ;;;;;;sElEbr6rE;sElEbrô;sElEbr;;;sElEbr;sElEbr;;;;;;;sElEbr
891;côtoyer;;;;;;kOtwaja;;;;;;;;kOtwajE;;;kOtwajE;kOtwajE;kOtwaje;;;;;;;;;;;;;;;;;;kOtwa;;kOtwa;;kOtwa;;;;;;;
892;dactylographier;;;;;;;;;;;;;;;;;;;daktilOgrafje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
893;daigner;;;;;;dEJa;;;;;;;;;;;;dEJE;;;;;;;;;dEJe;dEJ;dEJâ;;;;;;;;dEJ;dEJe;;dEJ;dEJ;;;;;;;
894;daller;;;;;;;;;;;;;;;;;;;dale;;;;;;;;;;;;;;;;;;;;;;dal;;;;;;;
895;damer;;;;;;;;;;;;;;;;;;;;;;;;;;;;dam;;;;;;;;;dam;;dam;;dam;;;;;dam;;
896;damner;;;;;;;;;;;;;;;;;;danE;dane;;;;;;;;;;;;;;;;;;;;;;dan;;;;;;;
897;dandiner;;;;;;;;;;;;;;;;;;dâdinE;;;;;;;;;;dâdin;dâdinâ;;;;;;;;dâdin;;;;dâdin;;;;;;;
898;danser;;;;;dâsEr;;;dâs6rE;dâs6re;dâs6ra;;dâs6ra;dâsjô;dâsE;;dâsE;dâsE;dâsE;dâse;;;;;;;dâsô;dâse;dâs;dâsâ;;;;dâs6rE;;dâs6rE;dâsô;dâs;dâse;dâs;dâs;dâs;;;;;dâs;;dâs
899;darder;;;;;;;;;;;;;;;;;;dardE;;;;;;;;;;dard;;;;;;;;;;;;;;;;;;;;
