;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
147;aller;alam;alE;;;alEr;ala;irô;irE;ire;ira;irô;ira;aljô;alE;alje;alE;alE;alE;ale;;;;;;alô;ale;va;alâ;irjô;irE;irje;irE;irE;irE;alô;vE;ale;va;vô;va;ale;ale;ale;ale;;aj;;aj;aj;aj
148;allier;;;;;;;;;;;;;;;;;;aljE;alje;;;;;;;;ali;;;;;;;;;ali;;;;ali;alje;alje;alje;alje;;;;;;
149;allonger;;;;;;alôZa;;alôZ6rE;;;;alôZ6ra;;alôZE;;alôZE;;alôZE;alôZe;;;;;;;alôZe;alôZ;alôZâ;;;;;;;alôZô;alôZ;alôZe;alôZ;alôZ;alôZ;alôZe;alôZe;alôZe;alôZe;;alôZ;;;;
150;allouer;;;;;;;;;;;;;;;;;;aluE;;;;;;;;;;;;;;;;;;alu;;;;;;;;;;;;;;
151;allumer;;alymE;;;alymEr;alyma;;alym6rE;;;;;;alymE;;alymE;alymE;alymE;alyme;;;;;;alymô;alyme;alym;alymâ;;;;;;alym6rE;;alym;alyme;alym;alym;alym;alyme;alyme;alyme;alyme;;;;;;
152;allécher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;alESe;alESe;alESe;;;;;;
153;alléger;;;;;;;;;;;;;;;;;;alEZE;alEZe;;;;;;;;alEZ;;;;;;;;;;;;;;;alEZe;;alEZe;;;;;;
154;alléguer;;;;;;;;;;;;;;;;;;alEgE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;alourdir;;;;;;alurdi;;;;;;;;;;;alurdisE;alurdisE;alurdir;;;;;;;;alurdi;;;;;;;;;alurdi;;;;alurdi;alurdi;alurdi;alurdi;alurdi;;;;;;
156;alpaguer;;;;;;;;;;;;;;;;;;;alpage;;;;;;;;;;;;;;;;;alpag;;;;;;;;;;;;;;
157;alterner;;;;;;;;;;;;;;;;;altErnE;;;;;;;;;;;altErnâ;;;;;;;;;altErne;;altErn;altErn;;;;altErne;;;;;;
158;altérer;;;;;;;;;;;;;;;;;;;altEre;;;;;altEra;;;altEr;;;;;;;;;altEr;;;;altEr;;altEre;;;;;;;;
159;amadouer;;;;;;amadua;;;;;;;;;;;;;amadue;;;;;;;;amadu;;;;;;;;;;;;;amadu;;;;;;;;;;
160;amalgamer;;;;;;;;;;;;;;;;;;;;;;;;;;;;amalgamâ;;;;;;;;;;;;;amalgame;;;;;;;;;
161;amarrer;;amarE;;;;amara;;;;;;;;;;;;;amare;;;;;;;amare;;amarâ;;;;;;;;amar;;;;;amare;;;amare;;;;;;
162;amasser;;;;;;;;;;;;;;;;;;amasE;amase;;;;;;;amase;amas;;;;;;;;;amas;;;;amas;;;;amase;;;;;;
163;amener;;;;;am6nEr;am6na;;amEn6rE;amEn6re;;;amEn6ra;am6njô;;;am6nE;am6nE;am6nE;am6ne;;;;;;am6nô;am6ne;amEn;am6nâ;;;;;;amEn6rE;am6nô;amEn;am6ne;amEn;amEn;amEn;am6ne;am6ne;am6ne;am6ne;;amEn;;amEn;amEn;amEn
164;amenuiser;;;;;;;;;;;;;;;;;am6nHizE;am6nHizE;am6nHize;;;;;;;;;am6nHizâ;;;;;;;;;;;am6nHiz;;;;;;;;;;;
165;ameuter;;;;;;;;;;;;;;;;;;;am6te;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;amidonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amidOne;amidOne;amidOne;;;;;;
167;amincir;;;;;;amêsi;;;;;;;;;;;amêsisE;;;;;;;;;;;;;;;;;;;;;;;amêsi;;amêsi;;;;;;;;
168;amnistier;;;;;;;;;;;;;;;;;;;amnistje;;;;;;;;;;;;;;;;;;;;;;;;amnistje;;;;;;;
169;amocher;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amOSe;amOSe;amOSe;;;;;;
170;amoindrir;;;;;;amwêdri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amwêdri;amwêdri;amwêdri;;;;;;
171;amollir;;;;;amOlir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amOli;;;;;;;;;;
172;amonceler;;;;;;;;;;;;;;;;;;amôs6lE;;;;;;;;;;;;;;;;;;;;;amôsEl;;amôs6le;;;;;;;;;
173;amorcer;;;;;;amOrsa;;;;;;;;;;;;amOrsE;amOrse;;;;;;;;;;;;;;;;;amOrs;;;;amOrs;;amOrse;;amOrse;;;;;;
174;amortir;;;;;;amOrti;;;;;;;;;;;;amOrtisE;amOrtir;;;;;;;;;;;;;;;;;amOrti;;;;;;;;;;amOrtis;;;;
175;amouracher;;;;;;;;;;;;;;;;;;;amuraSe;;;;;;;;;;;;;;;;;amuraS;;;;;;;;;;;;;;
176;amplifier;;;;;;;;;;;;;;;;;;âplifjE;;;;;;;âplifjô;;âplifi;;;;;;;;;âplifi;;;âplifi;;;âplifje;âplifje;;;;;;;
177;amputer;;;;;;;;;;;;;;;;;;âpytE;âpyte;;;;;;;;;;;;;;;;;âpyt;âpyte;;;;;;;;;;;;;
178;amuser;;;;;amyzEr;amyza;;amyz6rE;;amyz6ra;amyz6rô;amyz6ra;;amyzE;;amyzE;amyzE;amyzE;amyze;;;;;;;amyze;amyz;amyzâ;;amyz6rE;;;;amyz6rE;amyzô;amyz;amyze;amyz;amyz;amyz;;amyze;amyze;amyze;;amyz;;amyz;;amyz
179;améliorer;;;;;;;;;;;amEljOr6rô;amEljOr6ra;;;;;;amEljOrE;amEljOre;;;;;;;;amEljOr;;;;;;;;;amEljOr;;;;amEljOr;amEljOre;;;amEljOre;;;;;;
180;aménager;;;;;;;;;;;;;;;;;;;amEnaZe;;;;;;;;;;;;;;;;;;;;;amEnaZ;;amEnaZe;amEnaZe;amEnaZe;;;;;;
181;américaniser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amErikanize;;;;;;;
182;analyser;;;;;;;;;;;;;;;;;;;analize;;;;;;analizô;;analiz;;;;;;;;;analiz;analize;;;analiz;analize;;analize;analize;;;;analiz;;
183;ancrer;;;;;;âkra;;;;;;;;;;;;;âkre;;;;;;;;;;;;;;;;;;;;;;;âkre;âkre;âkre;;;;;;
184;anesthésier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;anEstEzje;;;;;;
185;angliciser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;âglisize;;;;;;
186;angoisser;;;;;;;;;;;;;;;;;âgwasE;;âgwase;;;;;;;;âgwas;âgwasâ;;;;;;;;âgwas;;;;âgwas;;âgwase;âgwase;âgwase;;;;;;
187;animaliser;;;;;;;;;;;;;;;;;;animalizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;animer;;animE;;;;anima;;;;;;;;;;;animE;animE;anime;;;;;;;;anim;;;;;;anim6rE;;;anim;;;;anim;;anime;anime;anime;;;;;;
189;anneler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;an6le;;an6le;;;;;;;
190;annexer;;;;;;;;;;;;;;;;;;;anEkse;;;;;;;;;anEksâ;;;;;;;;;;;;anEks;;;;anEkse;;;;;;
191;annihiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aniile;;;;;;
192;annoncer;;;;;anôsEr;anôsa;anôs6rô;anôs6rE;;;;anôs6ra;;;;anôsE;anôsE;anôsE;anôse;;;;;anôsa;;anôse;anôs;anôsâ;;;;;;;;anôs;anôse;;anôs;anôs;;anôse;;anôse;;;;;;
193;annuler;;;;;;;;;;;;;;;;;anylE;;anyle;;;;;;;anyle;anyl;;;;;;;;;anyl;anyle;;anyl;anyl;;anyle;;anyle;;;;;;
194;anoblir;;;;;;anObli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;anObli;;;;;;
195;anticiper;;;;;;;;;;;;;;;;;;âtisipE;;;;;;;;;âtisip;;;;;;;;;âtisip;âtisipe;;;;;âtisipe;;;;;;;;
196;anéantir;;;;;;anEâti;;;;;anEâtirô;;;;;;;;anEâtir;;;;;;;;anEâti;;;;;;;;;anEâti;;anEâti;;;;anEâti;anEâti;anEâti;;;;;;
197;apaiser;;;;;;apEza;;;;;;apEz6ra;;;;;;apEzE;apEze;;;;;apEza;;;apEz;apEzâ;;;;;;;;apEz;;;apEz;apEz;apEze;apEze;;apEze;;;;;;
198;apercevoir;apErsym;apErsy;;;apErsyr;apErsy;;;apErs6vre;apErs6vra;apErs6vrô;apErs6vra;apErs6vjô;apErs6vE;;apErs6vE;apErs6vE;apErs6vE;apErs6vwar;;;;;apErsy;;;apErswa;apErs6vâ;;;;apErs6vrE;;;apErs6vô;apErswa;;apErswa;apErswav;apErswa;apErsy;apErsy;apErsy;apErsy;apErs6vjô;apErswav;;;;apErswav
199;apeurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ap6re;;;;;;;;
200;apitoyer;;;;;;;;;;;;;;;;;;;apitwaje;;;;;;apitwajô;;;apitwajâ;;;;;;apitwarE;;apitwa;;;;;apitwaje;;;apitwaje;;;;;;
201;aplanir;;;;;;;;;;;;;;;;;aplanisE;aplanisE;aplanir;;;;;;;;;;;;;;;;;;;;;;;;;aplani;;;;;;
202;aplatir;;;;;;aplati;;;;;;;;;;;aplatisE;;aplatir;;;;;;;;aplati;;;;;;;;;aplati;;aplati;;aplati;aplati;aplati;aplati;aplati;;;;;;
203;apostropher;;;;;;;;;;;;;;;;;;;apOstrOfe;;;;;;;;;;;;;;;;;;;apOstrOf;;apOstrOf;;;;;;;;;;
204;apparaître;;apary;;;aparyr;apary;;aparEtrE;;;;aparEtra;;aparEsE;;;aparEsE;aparEsE;aparEtr;;;;;;;aparEse;aparE;aparEsâ;;;;;aparEtrE;aparEtrE;;aparE;aparEse;;aparEs;aparE;apary;apary;apary;apary;;aparEs;;;;aparEs
205;appareiller;;;;;;;;;;;;;aparEjô;;;;;aparEjE;aparEje;;;;;;aparEjô;;;;;;;;;;;;;;;;;;;;;;;;;
206;apparenter;;;;;;;;;;;;;;;;;aparâtE;aparâtE;aparâte;;;;;;;;;;;;;;;;;aparât;;;;aparât;;;;;;;;;;
207;apparier;;;;;;;;;;;;;;;;;;aparjE;;;;;;;;;;;;;;;;;;;;;;;;;aparje;;;;;;;
208;appartenir;;;;;;;;;;apartjêdra;;apartjêdra;apart6njô;apart6nE;;apart6nE;apart6nE;apart6nE;apart6nir;;;;apartês;apartê;;;apartjê;apart6nâ;;;;;;apartjêdrE;;apartjê;apart6ne;apartjê;apartjEn;apartjê;;;;;;apartjEn;;;;
209;appauvrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;apOvri;;;;apOvri;;;;;;
210;appeler;;ap6lE;;;ap6lEr;ap6la;;apEl6rE;;apEl6ra;apEl6rô;apEl6ra;ap6ljô;ap6lE;ap6lje;ap6lE;ap6lE;ap6lE;ap6le;;;;;;ap6lô;ap6le;apEl;ap6lâ;apEl6rjô;apEl6rE;apEl6rje;apEl6rE;apEl6rE;apEl6rE;ap6lô;apEl;ap6le;apEl;apEl;apEl;ap6le;ap6le;ap6le;ap6le;;apEl;ap6lje;apEl;;apEl
211;appesantir;;;;;;ap6zâti;;;;;;;;;;;;ap6zâtisE;ap6zâtir;;;;;;;;;;;;;;;;;ap6zâti;;;;;;;;;;;;;;
212;applaudir;;;;;;aplOdi;;aplOdirE;;;;;;aplOdisE;;aplOdisE;aplOdisE;aplOdisE;aplOdir;;;;aplOdis;;aplOdisô;aplOdise;aplOdi;;;;;;;;;aplOdi;aplOdise;aplOdi;;aplOdi;aplOdi;;aplOdi;aplOdi;;;;;;
213;appliquer;;aplikE;;;aplikEr;aplika;;;;;;;;;;aplikE;aplikE;aplikE;aplike;;;;;;;aplike;aplik;aplikâ;;;;;;;;aplik;;;aplik;aplik;aplike;aplike;aplike;aplike;;;;;;
214;apporter;;;;;;apOrta;apOrt6rô;apOrt6rE;apOrt6re;apOrt6ra;;apOrt6ra;;;;apOrtE;apOrtE;apOrtE;apOrte;;;;;;apOrtô;apOrte;apOrt;apOrtâ;;apOrt6rE;;;;apOrt6rE;apOrtô;apOrt;apOrte;apOrt;apOrt;apOrt;apOrte;apOrte;apOrte;apOrte;;apOrt;;;;apOrt
215;apposer;;;;;;;;;;;;;;;;;;;apOze;;;;;;;;;;;;;;;;;;;;;apoz;;apOze;;;;;;;;
216;apprendre;;apri;;apri;aprir;apri;aprâdrô;aprâdrE;aprâdre;aprâdra;;aprâdra;;apr6nE;apr6nje;apr6nE;apr6nE;apr6nE;aprâdr;;;;;;apr6nô;apr6ne;aprâ;apr6nâ;aprâdriô;aprâdrE;aprâdrie;aprâdrE;;aprâdrE;;aprâ;apr6ne;aprâ;aprEn;aprâ;apriz;apriz;;;;aprEn;;aprEn;;aprEn
217;apprivoiser;;;;;;;;;;;;;;;;;;;aprivwaze;;;;;;;aprivwaze;aprivwaz;;;;;;;;;;;;aprivwaz;;;aprivwaze;;aprivwaze;;;;;;
218;approcher;;aprOSE;;;;aprOSa;;;;;;;aprOSjô;aprOSE;;aprOSE;aprOSE;aprOSE;aprOSe;;;;;;aprOSô;aprOSe;aprOS;aprOSâ;;;;;;;aprOSô;aprOS;aprOSe;aprOS;aprOS;aprOS;aprOSe;aprOSe;aprOSe;aprOSe;;aprOS;;aprOS;;
219;approfondir;;;;;;aprOfôdi;;;;;;;;;;;;;aprOfôdir;;;;;aprOfôdi;;;;;;;;;;;;;;;;aprOfôdi;;aprOfôdi;;;;;;;;
220;approprier;;;;;;;;;;;;;;;;;;;aprOprie;;;;;;;;;;;;;;;;;;;;;;;aprOprie;aprOprie;aprOprie;;;;;;aprOpri
221;approuver;apruvam;;;;;apruva;;;;;;;;apruvE;apruvje;apruvE;;apruvE;apruve;;;;;apruva;;apruve;apruv;;;;;;;;;apruv;apruve;apruv;;apruv;apruve;;;apruve;;;;;;apruv
222;approvisionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aprOvizjOne;aprOvizjOne;;;;;;;;
223;apprécier;;;;;;aprEsja;;;aprEsire;;;;aprEsijô;aprEsjE;;aprEsjE;aprEsjE;aprEsjE;aprEsje;;;;;;aprEsjô;aprEsje;aprEsi;aprEsjâ;;aprEsirE;;aprEsirE;aprEsirE;;aprEsjô;aprEsi;aprEsje;aprEsi;aprEsi;aprEsi;;aprEsje;aprEsje;aprEsje;;;;;aprEsi;
224;appréhender;;;;;;;;;;;;;;;;;;;aprEâde;;;;;;;aprEâde;aprEâd;;;;;;;;;aprEâd;;;;aprEâd;;;aprEâde;;;;;;;aprEâd
225;apprêter;;;;;;;;;;;;;;aprEtE;;aprEtE;aprEtE;aprEtE;;;;;;;;;aprEt;aprEtâ;;;;;;;;aprEt;;;aprEt;aprEt;;;;;;;;aprEt;;
226;appuyer;apHiam;apHiE;;;;apHia;;;;;;;;;;apHiE;apHiE;apHiE;apHie;;;;;;;apHie;apHi;apHiâ;;;;apHirE;;;;apHi;apHie;apHi;;apHi;apHie;apHie;apHie;apHie;;;;apHi;;
227;appâter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;apat;;;;;;apate;;apate;;;;;;
228;arbitrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arbitr;;;;;;;;;;;;;;
229;arborer;;;;;;;;;;;;;;;;;arbOrE;arbOrE;;;;;;;;;;arbOrâ;;;;;;;;arbOr;;;arbOr;arbOr;;;;;;;;;;
230;arc-bouter;;;;;;ark6buta;;;;;;;;ark6butE;;;;;;;;;;;;;;;;;;;;;;ark6but;;;;;;;;;;;;;;
231;archiver;;;;;;;;;;;;;;;;;;;arSive;;;;;;;;;;;;;;;;;arSiv;;arSiv;;;;;;;;;;;;
232;argenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arZâte;arZâte;arZâte;arZâte;;;;;;
233;arguer;;;;;;;;;;;;;;;;;;;;;;;;;;;;argâ;;;;;;;;;;;;arg;;;;;;;;;;
234;argumenter;;;;;;argymâta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;armer;;;;;;;;;;;;;;;;;;armE;arme;;;;;;;arme;arm;;;;;;;;;arm;arme;arm;arm;arm;arme;arme;arme;arme;;;;;;
236;arnaquer;;;;;;;;;;;;;;;;;;;arnake;;;;;;;;;;;;;;;;;;;;;;;;;arnake;;;;;;
237;aromatiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;arOmatize;;;arOmatize;;;;;;
238;arpenter;;arpâtE;;;;arpâta;;;;;;;;arpâtE;;;arpâtE;arpâtE;arpâte;;;;;;;;arpât;arpâtâ;;;;;;;;arpât;;;arpât;arpât;;;;arpâte;;;;;;
239;arquer;;;;;;;;;;;;;;;;;;;arke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;arracher;;araSE;;;araSEr;araSa;;araS6rE;;;;araS6ra;;araSE;;araSE;araSE;araSE;araSe;;;;;;;araSe;araS;araSâ;;;;araS6rE;;araS6rE;;araS;araSe;;araS;araS;araSe;araSe;araSe;araSe;;araS;;;;araS
241;arranger;;;;;;arâZa;;arâZ6rE;;;arâZ6rô;arâZ6ra;;arâZE;arâZje;arâZE;arâZE;arâZE;arâZe;;;;;;;arâZe;arâZ;arâZâ;;arâZ6rE;;arâZ6rE;;arâZ6rE;;arâZ;arâZe;arâZ;arâZ;arâZ;;arâZe;arâZe;arâZe;;;;;arâZ;
242;arrimer;;;;;;;;;;;;;;;;;;;arime;;;;;;;arime;;;;;;;;;;;;;arim;;;arime;arime;;;;;;;
243;arriver;arivam;arivE;;;arivEr;ariva;ariv6rô;ariv6rE;ariv6re;ariv6ra;ariv6rô;ariv6ra;arivjô;arivE;arivje;arivE;arivE;arivE;arive;;;;;ariva;arivô;arive;ariv;arivâ;;ariv6rE;;ariv6rE;ariv6rE;ariv6rE;arivô;ariv;arive;ariv;ariv;ariv;arive;arive;arive;arive;;ariv;;;ariv;ariv
244;arroger;;;;;;;;;;;;;;;;;;arOZE;arOZe;;;;;;;;;;;;;;;;;arOZ;;;;;;;;;;;;;;
245;arrondir;;;;;;arôdi;;;;;;arôdira;;;;;arôdisE;arôdisE;;;;;;;;;arôdi;;;;;;;;;;;;;arôdi;;arôdi;arôdi;arôdi;;;;;;
246;arroser;;;;;;;;;;;;;;;;;arOzE;arOzE;arOze;;;;;;arOzô;arOze;aroz;;;arOz6rE;;;;;;aroz;;;;aroz;arOze;arOze;arOze;arOze;;;;;;
247;arrêter;arEtam;arEtE;;;arEtEr;arEta;arEt6rô;arEt6rE;arEt6re;;arEt6rô;arEt6ra;arEtjô;arEtE;arEtje;arEtE;arEtE;arEtE;arEte;;;;;arEta;arEtô;arEte;arEt;arEtâ;;arEt6rE;arEt6rje;;arEt6rE;arEt6rE;arEtô;arEt;arEte;arEt;arEt;arEt;arEte;arEte;arEte;arEte;arEtjô;arEt;;arEt;arEt;arEt
248;articuler;;;;;;artikyla;;;;;;;;;;;;;artikyle;;;;;;;;artikyl;artikylâ;;;;;;;;artikyl;;;;artikyl;;;;;;;;;;
249;ascensionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asâsjOn;;;;;;;;;;
250;asperger;;;;;;;;;;;;;;;;;;aspErZE;aspErZe;;;;;;;;aspErZ;aspErZâ;;;;;;;;aspErZ;;;;aspErZ;;aspErZe;;aspErZe;;;;;;
251;asphyxier;;;;;;;;;;;;asfiksira;;;;;;asfiksjE;asfiksje;;;;;;;;;;;;;;;;;;;;;asfiksi;;asfiksje;;;;;;;;
252;aspirer;;;;;;aspira;;;;;;;;aspirE;aspirje;;aspirE;aspirE;aspire;;;;;;;aspire;aspir;aspirâ;;;;;;;;aspir;;;aspir;aspir;;aspire;aspire;aspire;;;;;;
253;assaillir;;asaji;;;asajir;asaji;;;;;;;;;;;asajE;asajE;asajir;;;;;;;;;;;;;;;;;;;;;;;;;asaji;;;;;;
254;assainir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asEni;;;;;;
255;assaisonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asEzOne;;;;;;;
256;assassiner;;;;;;;;;;;;;;;;;;;asasine;;;;;;;;asasin;;;;;;;;;asasin;;;asasin;asasin;;asasine;asasine;asasine;;;;;;asasin
257;assembler;;;;;;;;;;;;;;;;;asâblE;;asâble;;;;;;;;asâbl;;;;;;;;;asâbl;;;asâbl;asâbl;;;asâble;;;;;;;
258;assener;;;;;;as6na;;;;;;;;as6nE;;;;;as6ne;;;;;;;;asEn;as6nâ;;;;;;;;asEn;;;asEn;asEn;;;;;;;;;;
259;asseoir;asim;asi;;asi;asir;asi;;;;;;;;asEjE;;asEjE;asEjE;asEjE;aswar;;;;;;asEjô;asEje;asje,aswa;asEjâ;;asjErE;;;;;asEjô;asje,aswa;asEje;asje,aswa;asEj;asje,aswa;asiz;asiz;;;;aswa;;aswa;;asEj
260;assermenter;;;;;;;;;;;;;;;;;;;;;;;;;;asErmâte;;;;;;;;;;;;;;;;asErmâte;;;;;;;;
261;asservir;;;;;;;;;;;asErvirô;;;;;;;;asErvir;;;;;;;;;;;;;;;;;;;;;;asErvi;;asErvi;;;;;;;
262;assigner;;asiJE;;;;;;;;;;;;;;;;asiJE;asiJe;;;;;;;;asiJ;;;;;;;;;;;;;;;asiJe;asiJe;asiJe;;;;;;
263;assimiler;;;;;;;;;;;;;;;;;;asimilE;asimile;;;;;;;asimile;asimil;asimilâ;;;;;;;;asimil;asimile;;;;asimile;;;asimile;;;;;;
264;assister;;asistE;;;;asista;;asist6rE;asist6re;;;asist6ra;asistjô;asistE;;asistE;asistE;asistE;asiste;;;;;;asistô;asiste;asist;asistâ;;;;;;asist6rE;;asist;;;asist;asist;;asiste;;asiste;;;;;;asist
265;assiéger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asjEZe;;;;;;;;
266;associer;;;;;;;;;;;;;;;;;;asOsjE;asOsje;;;;;;;;asOsi;;;;;;asOsirE;;;asOsi;;;asOsi;asOsi;asOsje;;asOsje;asOsje;;;;;;
267;assoiffer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aswafe;aswafe;aswafe;;;;;;
268;assombrir;;;;;;asôbri;;;;;;;;;;;asôbrisE;asôbrisE;asôbrir;;;;;;;;;;;;;;;;;;;;;asôbri;;;asôbri;asôbri;;;;;;
269;assommer;;;;;;;;;;;;;;;;;;asOmE;asOme;;;;;;;asOme;asOm;;;asOm6rE;;;asOm6rE;;;asOm;;;;asOm;;asOme;;asOme;;;;;;
270;assortir;;;;;;asOrti;;;;;;;;asOrtisE;;;;;asOrtir;;;;;;;;;;;;;;;;;;;;;asOrti;asOrti;;asOrti;asOrti;;;;;;
271;assoupir;;;;;;;;;;;;;;;;;;asupisE;asupir;;;;;;;;;;;;;;;;;asupi;;;;asupi;;asupi;asupi;asupi;;;;;;
272;assouplir;;;;;;;;;;;;;;;;;;asuplisE;asuplir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;assourdir;;;;;;;;;;;;;;;;;asurdisE;asurdisE;;;;;;;;;;asurdisâ;;;;;;;;;;asurdi;;;asurdi;;asurdi;asurdi;;;;;;
274;assouvir;;;;;;asuvi;;;;;;;;;;;;;asuvir;;;;;;;;;;;;;;;;;asuvi;;;;;;asuvi;;asuvi;;;;;;
275;assujettir;;;;;;asyZEti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;asyZEti;;;asyZEti;;;;;;
276;assumer;;;;;;;;;;;;asym6ra;;;;;;asymE;asyme;;;;;;;;asym;;;;;;;;;asym;;;;asym;asyme;asyme;;asyme;;;;;;asym
277;assurer;;asyrE;;;asyrEr;asyra;;asyr6rE;;;;asyr6ra;;asyrE;asyrje;;asyrE;asyrE;asyre;;;;;;asyrô;asyre;asyr;asyrâ;;;;asyr6rE;;;asyrô;asyr;asyre;asyr;asyr;asyr;asyre;asyre;asyre;asyre;;;;asyr;;asyr
278;assécher;;;;;;;;;;;;;;;;;;;asESe;;;;;;;;asES;asESâ;;;;;;;;asES;;;asES;asES;;asESe;asESe;;;;;;;
279;asticoter;;;;;;;;;;;;;;;;;;;astikOte;;;;;;;;;;;;;;;;;astikOt;;;;astikOt;;;astikOte;;;;;;;
280;astiquer;;;;;;astika;;;;;;;;;;;;astikE;astike;;;;;;;;astik;;;;;;;;;astik;;;astik;astik;;astike;;;;;;;;
281;astreindre;;;;;;;;;;;;;;;;;;astrEJE;;;;;;;;;;;;;;;;;;;;;;astrê;;;astrê;;;;;;;
282;atomiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atOmiz;;;;;;;;;;;;;;
283;atrophier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atrOfje;;;;;;;
284;attabler;;;;;;atabla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atable;atable;atable;;;;;;
285;attacher;;;;;;ataSa;;;;;;ataS6ra;;;;ataSE;ataSE;ataSE;ataSe;;;;;;;ataSe;ataS;ataSâ;;;;;;;ataSô;ataS;ataSe;ataS;ataS;ataS;ataSe;ataSe;ataSe;ataSe;;;;;;
286;attaquer;;;;;atakEr;ataka;;;;;atak6rô;atak6ra;;;;;atakE;atakE;atake;;;;;;atakô;atake;atak;atakâ;;;;atak6rE;;;atakô;atak;atake;atak;atak;atak;atake;atake;atake;atake;;;;;atak;atak
287;attarder;;atardE;;;atardEr;atarda;;;;;;;;atardE;;;atardE;atardE;atarde;;;;;;;atarde;atard;atardâ;;;;;;;atardô;atard;;;;atard;;;;atarde;;atard;;;;
288;atteindre;atEJim;atEJi;;;atEJir;atEJi;atêdrô;;;;;atêdra;atEJô;atEJE;;atEJE;atEJE;atEJE;atêdr;;;;;;atEJô;;atê;atEJâ;;atêdrE;;;;atêdrE;;atê;;atê;atEJ;atê;atêt;atêt;atê;atê;;atEJ;;;;atEJ
289;atteler;;;;;;;;;;;;;;at6lE;;;at6lE;;at6le;;;;;;;;atEl;;;atEl6rE;;;;;;atEl;;;;;at6le;at6le;at6le;at6le;;;;;;atEl
290;attendre;atâdim;atâdi;;;atâdir;atâdi;atâdrô;atâdrE;atâdre;atâdra;atâdrô;atâdra;atâdjô;atâdE;atâdje;atâdE;atâdE;atâdE;atâdr;;;;;;atâdô;atâde;atâ;atâdâ;;atâdrE;;atâdrE;atâdrE;atâdrE;atâdô;atâ;atâde;atâ;atâd;atâ;atâdy;atâdy;;atâdy;;atâd;atâdje;;;atâd
291;attendrir;;;;;;atâdri;;;;;;;;;;;;atâdrisE;atâdrir;;;;;;;;atâdri;;;;;;;;;atâdri;;atâdri;;atâdri;atâdri;atâdri;atâdri;atâdri;;;;;;
292;attenter;;;;;;;;;;;;;;;;;;;atâte;;;;;;;;;;;;;;;atât6rE;;atât;;;;atât;;;;;;;;;;
293;atterrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;atEre;;;;;;;
