;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
979;dormir;;dOrmi;;dOrmi;dOrmir;dOrmi;;dOrmirè;dOrmire;dOrmira;dOrmirô;dOrmira;dOrmjô;dOrmè;dOrmje;dOrmè;dOrmè;dOrmè;dOrmir;;;;;;dOrmô;dOrme;dOr;dOrmâ;;dOrmirè;;dOrmirè;dOrmirè;dOrmirè;dOrmô;dOr;dOrme;dOr;dOrm;dOr;;;dOrm;;dOrm;dOrm;dOrm
980;doser;;;;;;;;;;;;;;;;;;;dòze;;;;;;;;;dòzâ;;;;;;;;;;;;;;;;;;;
981;doter;;;;;;;;;;;;;;;;;;dòtè;dòte;;;;;;;;;;;;;;;;;dOt;;;;dOt;;;;;;;
982;doubler;;;;;;dubla;;dubl6rè;dubl6re;;;dubl6ra;;;;;dublè;dublè;duble;;;;;;;duble;dubl;dublâ;;;;;;;;dubl;duble;dubl;dubl;dubl;;;;;;;
983;doucher;;;;;;duSa;;;;;;;;;;;;duSè;duSe;;;;;;;;duS;;;;;;;;duSô;duS;duSe;;;duS;;;duS;;;;
984;douer;;;;;;;;;;;;;;;;;;;due;;;;;;;;;;;;;;;;;;;;;;;;;;;;
985;douter;;dutè;;;;duta;;dut6rè;dut6re;;;dut6ra;dutjô;dutè;;dutè;dutè;dutè;dute;;;;;;;dute;dut;dutâ;;dut6rè;;dut6rè;;dut6rè;;dut;dute;dut;dut;dut;;;;;;dut;
986;draguer;;;;;;;;;;;;;;;;dragè;dragè;dragè;drage;;;;;;;drage;drag;;;;;;;;;drag;drage;;;drag;;;;;;;
987;drainer;;;;;;;;;;;;;;;;;;;drène;;;;;;;;;;;;;;;;;drEn;;;;;;;;;;;
988;dramatiser;;;;;;;;;;;;;;;;;;;dramatize;;;;;;dramatizô;dramatize;dramatiz;;;;;;;;;dramatiz;;dramatiz;;dramatiz;;;;;;;
989;draper;;;;;;;;;drap6re;;;;;;;;;drapè;drape;;;;;;;;drap;drapâ;;;;;;;;drap;;;drap;drap;;;;;;;
990;dresser;;drèsè;;;;drèsa;;;;;;;;;;drèsè;drèsè;drèsè;drèse;;;;;;;drèse;drEs;drèsâ;;;;;;;drèsô;drEs;drèse;drEs;drEs;drEs;;;;;;;
991;driver;;;;;;;;;;;;;;;;;;drajvè;drajve;;;;;;;;;;;;;;;;;;;;;;;;;;;;
992;droguer;;;;;;;;;;;;;;;drògje;;;drògè;dròge;;;;;;;;drOg;drògâ;;;;;;;;drOg;dròge;;drOg;drOg;;;;;drOg;;
993;duper;;;;;;;;;;;;;;;;;;;dype;;;;;;;;dyp;;;;;;;;dypô;dyp;;;;dyp;;;;;;;
994;durcir;;;;;dyrsir;dyrsi;;;;;;;;;;;;dyrsisè;;;;;;;;;dyrsi;;;;;;;;;dyrsi;;;dyrsis;dyrsi;;;;;;;
995;durer;;;;;dyrEr;dyra;;dyr6rè;;;dyr6rô;dyr6ra;;;;;dyrè;dyrè;dyre;;;;dyras;dyra;;;dyr;dyrâ;;;;;dyr6rè;dyr6rè;;dyr;;;dyr;dyr;;;;;;;
996;dynamiter;;;;;;;;;;;;;;;;;;;dinamite;;;;;;;;;;;;;;;;;;;;;dinamit;;;;;;;
997;déambuler;;;;;;;;;;;;;;;;;;dèâbylè;dèâbyle;;;;;;;;dèâbyl;dèâbylâ;;;;;;;;dèâbyl;;;dèâbyl;dèâbyl;;;;;;;
998;débagouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèbagul;;;;;;;;;;;
999;déballer;;;;;;;;;;;;;;;;;;;dèbale;;;;;;;dèbale;dèbal;dèbalâ;;;;;;;;dèbal;dèbale;;;dèbal;;;;;;;dèbal
1000;débander;;;;;;;;;;;;dèbâd6ra;;;;;;;dèbâde;;;;;;;;;;;;;;;;;;;;;dèbâd;;;;;;;
1001;débarbouiller;;;;;;;;;;;;;;;;;;;dèbarbuje;;;;;;;;dèbarbuj;;;;;;;;;;;;;dèbarbuj;;;;;;;
1002;débarder;;;;;;;;;;;;;;;;;;;dèbarde;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1003;débarquer;dèbarkam;;;;dèbarkEr;dèbarka;;dèbark6rè;dèbark6re;;;dèbark6ra;;dèbarkè;dèbarkje;dèbarkè;dèbarkè;dèbarkè;dèbarke;;;;;;dèbarkô;dèbarke;dèbark;dèbarkâ;;;;;dèbark6rè;;dèbarkô;dèbark;dèbarke;dèbark;dèbark;dèbark;;;;;;;
1004;débarrasser;;;;;dèbarasEr;dèbarasa;;dèbaras6rè;;;dèbaras6rô;dèbaras6ra;;;;dèbarasè;;dèbarasè;dèbarase;;;;;;;dèbarase;dèbaras;dèbarasâ;;dèbaras6rè;;;;;dèbarasô;dèbaras;dèbarase;dèbaras;dèbaras;dèbaras;;;;;dèbaras;;
1005;débattre;;;;;;dèbati;;;;;;;;;;;dèbatè;dèbatè;dèbatr;;;;;;;;;dèbatâ;;;;;;dèbatrè;dèbatô;dèba;dèbate;dèba;dèbat;dèba;;;;;;;
1006;débaucher;;;;;;;;;;;;;;;;;;;dèbòSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1007;débecter;;;;;;;;;;;;;;;;;;;;;;;;;;;dèbEkt;;;;;;;;;dèbEkt;;;;dèbEkt;;;;;;;
1008;débiner;;;;;;;;;;;;;;;;;;;dèbine;;;;;;;dèbine;dèbin;;;;;;;dèbin6rè;;dèbin;;dèbin;dèbin;dèbin;;;;;;;
1009;débiter;;;;;;;;;;;;;;;;;dèbitè;dèbitè;dèbite;;;;;;;;dèbit;dèbitâ;;;;;;;;dèbit;;;dèbit;dèbit;;;;;;;
1010;déblatérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèblatEr;;;;;;;
1011;déblayer;;;;;;;;;dèblère;;;dèblèj6ra;;;;;;;dèblèje;;;;;;;;;;;;;;;;;;dèblèje;;dèblè;;;;;;;;
1012;débloquer;;;;;;;;;;;;;;;;;;;dèblòke;;;;;;;dèblòke;dèblOk;;;;;;;;;dèblOk;dèblòke;dèblOk;dèblOk;dèblOk;;;;;;;
1013;débonder;;;;;;;;;;;;;;;;;;dèbôdè;dèbôde;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1014;déborder;;;;;;dèbOrda;;;;;;;;dèbOrdè;;dèbOrdè;dèbOrdè;dèbOrdè;dèbOrde;;;;;;;;dèbOrd;dèbOrdâ;;;;;;;;dèbOrd;dèbOrde;;dèbOrd;dèbOrd;;;;;;;
1015;déboucher;;;;;dèbuSEr;dèbuSa;;;;;;dèbuS6ra;;;;;dèbuSè;dèbuSè;dèbuSe;;;;;;;;dèbuS;dèbuSâ;;;;;;dèbuS6rè;dèbuSô;dèbuS;;;dèbuS;dèbuS;;;;;;;
1016;déboucler;;;;;;;;;;;;;;;;;;dèbuklè;dèbukle;;;;;;;dèbukle;dèbukl;;;;;;;;;dèbukl;;;;dèbukl;;;;;;;
1017;débouler;;;;;;;;;;;;;;;;;;dèbulè;dèbule;;;;;;;;dèbul;dèbulâ;;;;;;;;dèbul;;;;dèbul;;;;;;;
1018;déboulonner;;;;;;;;;;;;;;;;;;;dèbulòne;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1019;débouquer;;;;;;;;;;;;;;;;;dèbukè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1020;débourser;;;;;;;;;;;;;;;;;;;dèburse;;;;;;;;;;;;;;;;;dèburs;;;;;;;;;;;
1021;déboutonner;;;;;;dèbutòna;;;;;;;;;;;;;dèbutòne;;;;;;;;dèbutòn;dèbutònâ;;;;;;;;dèbutòn;;;;dèbutòn;;;;;;;
1022;déboîter;;;;;;;;;;;;;;;;;;;;;;;;;;;dèbwat;;;;;;;;;;;;;dèbwat;;;;;;;
1023;débrancher;;;;;;;;;;;;;;;;;;;dèbrâSe;;;;;;;dèbrâSe;dèbrâS;;;;;dèbrâS6rè;;dèbrâS6rè;dèbrâSô;dèbrâS;dèbrâSe;;;dèbrâS;;;;;;;
1024;débrayer;;;;;;;;;;;;;;;;;;;;;;;;;;;dèbrEj;;;;;;;;;;;;;;;;;;;;
1025;débrider;;;;;;;;dèbrid6rè;;;;;;;;;;;dèbride;;;;;;;;;;;;;;;;;;;;;dèbrid;;;;;;;
1026;débrouiller;;;;;;dèbruja;dèbruj6rô;dèbruj6rè;dèbruj6re;;;dèbruj6ra;;dèbrujè;;;;;dèbruje;;;;;;;dèbruje;dèbruj;;;dèbruj6rè;;;;;;dèbruj;dèbruje;dèbruj;dèbruj;dèbruj;;;dèbruj;;;;
1027;débroussailler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèbrusaj;;;;dèbrusaj;;;;;;;
1028;débusquer;;;;;dèbyskEr;;;;;;;;;;;;;;dèbyske;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1029;débuter;;;;;;dèbyta;;;;;;;;dèbytè;;;;dèbytè;dèbyte;;;;;;;dèbyte;dèbyt;dèbytâ;;;;;;;;dèbyt;;dèbyt;dèbyt;dèbyt;;;;;;;
1030;décacheter;;;;;;;;;;;;;;;;;;;dèkaS6te;;;;;;;;;dèkaS6tâ;;;;;;;;;;;;;;;;;;;
1031;décaisser;;;;;;;;;;;;;;;;;;;dèkèse;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1032;décaler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèkal;;;;;;;;;;;
1033;décalquer;;;;;;;;;;;;;;;;;;;dèkalke;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1034;décamper;;;;;;;;;;;;;;;;;;;dèkâpe;;;;;;;dèkâpe;dèkâp;;;;;;;;;dèkâp;;;;dèkâp;;;;;;;
1035;décaniller;;;;;;;;;;;;;;;;;;;dèkanije;;;;;;;;dèkanij;;;;;;;;;;;;;;;;;;;;
1036;décanter;;;;;;;;;;;;;;;;;dèkâtè;;;;;;;;;;;dèkâtâ;;;;;;;;;;;;dèkât;;;;;;;
1037;décaper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèkap;;;;;;;
1038;décapiter;;;;;;;;;;;;;;;;;;;dèkapite;;;;;;;;dèkapit;;;;;;;;;dèkapit;;;;;;;;;;;
1039;décapsuler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèkapsyl6rè;;;;;;dèkapsyl;;;;;;;
1040;décapuchonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèkapySòn;;;;;;;
1041;décarrer;;;;;;;;;;;;;;;;;;;dèkare;;;;;;;;dèkar;dèkarâ;;;;;;;;dèkar;;;;dèkar;;;;;;;
1042;déceler;;;;;;dès6la;;;;;;;;dès6lè;;;dès6lè;dès6lè;dès6le;;;;;;;;;dès6lâ;;;;;;;;dèsEl;;;;dèsEl;;;;;;;
1043;décentrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèsâtr;;;;;;;
1044;décerner;;;;;;;;;;;;;;;;;;;dèsErne;;;;;;dèsErnô;;;;;;;;;;;;;;dèsErn;dèsErn;;;;;;;
1045;décevoir;;dèsy;;;;dèsy;;dès6vrè;;;;;;;;;;dès6vè;dès6vwar;;;;;;;dès6ve;dèswa;dès6vâ;;;;;;;;dèswa;dès6ve;dèswa;dèswav;dèswa;;;;;;;
1046;déchanter;;;;;;dèSâta;;;;;;;;;;;;;dèSâte;;;;;;;;;;;;;;;;;;;;dèSât;dèSât;;;;;;;
1047;décharger;;;;;;dèSarZa;;;;;;;dèSarZjô;;;;;dèSarZè;dèSarZe;;;;;;;dèSarZe;dèSarZ;dèSarZâ;;;;;;dèSarZ6rè;;dèSarZ;;;dèSarZ;dèSarZ;;;;;;;
1048;déchausser;;;;;;;;;;;;;;;;;;dèSòsè;dèSòse;;;;;;;dèSòse;;;;;;;;;;;;;;dèSos;;;;;;;
1049;déchaîner;;;;;;dèSèna;;;;;;;;;;;dèSènè;dèSènè;dèSène;;;;;;;;dèSEn;;;;;;;;;dèSEn;;;;dèSEn;;;;;;;
1050;déchiffrer;;;;;;;;;;;;;dèSifrjô;dèSifrè;;dèSifrè;;dèSifrè;dèSifre;;;;;;;;dèSifr;;;;;;;;;dèSifr;;;;dèSifr;;;;;;;
1051;déchiqueter;;;;;;;;;;;;;;;;;;;dèSik6te;;;;;;;;;dèSik6tâ;;;;;;;;;;;;dèSikEt;;;;;;;
1052;déchirer;;;;;dèSirEr;dèSira;;dèSir6rè;;;;;;;;dèSirè;dèSirè;dèSirè;dèSire;;;;;;dèSirô;;dèSir;dèSirâ;;dèSir6rè;;;;;;dèSir;;dèSir;dèSir;dèSir;;;;;;;
1053;déchoir;;;;;;;;;;;;;;;;;;;dèSwar;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1054;déchristianiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèkristjaniz;;;;;;;
1055;décider;dèsidam;dèsidè;;;dèsidEr;dèsida;;dèsid6rè;;dèsid6ra;dèsid6rô;dèsid6ra;;dèsidè;dèsidje;dèsidè;dèsidè;dèsidè;dèside;;;;;dèsida;dèsidô;dèside;dèsid;dèsidâ;;dèsid6rè;;;dèsid6rè;dèsid6rè;dèsidô;dèsid;dèside;dèsid;dèsid;dèsid;;;dèsid;;;;dèsid
1056;décimer;;;;;;;;;;;;;;;;;;;dèsime;;;;;;;;dèsim;;;;;;;;;dèsim;;;dèsim;dèsim;;;;;;;
1057;déclamer;;;;;;dèklama;;;;;;;;;;;;;dèklame;;;;;dèklama;;;;dèklamâ;;;;;;;;;;;;dèklam;;;;;;;
1058;déclarer;;dèklarè;;;dèklarEr;dèklara;;;;;;;;;;;dèklarè;dèklarè;dèklare;;;;;;dèklarô;dèklare;dèklar;dèklarâ;dèklar6rjô;;;;;dèklar6rè;dèklarô;dèklar;dèklare;;dèklar;dèklar;;;;;;;
1059;déclencher;;;;;;dèklâSa;;;;;;dèklâS6ra;dèklâSjô;;;;;dèklâSè;dèklâSe;;;;;;;dèklâSe;dèklâS;dèklâSâ;;dèklâS6rè;;;;dèklâS6rè;;dèklâS;dèklâSe;;;dèklâS;;;;;;;
1060;décliner;;dèklinè;;;;dèklina;;;;;;;;dèklinè;;;;dèklinè;dèkline;;;;;;;dèkline;dèklin;dèklinâ;;;;;;;;dèklin;dèkline;;;dèklin;;;;;;;
1061;décocher;;;;;;dèkòSa;;;;;;;;;;;dèkòSè;;dèkòSe;;;;;;;;dèkOS;;;;;;;;;dèkOS;;;;dèkOS;;;;;;;
1062;décoder;;;;;;;;;;;;;;;;;;;dèkòde;;;;;;;;dèkOd;;;;;;;;;dèkOd;;;;dèkOd;;;;;;;
1063;décoiffer;;;;;;;;;;;;;;;;;;;dèkwafe;;;;;;;;dèkwaf;;;;;;;dèkwaf6rè;;;;;;dèkwaf;;;;;;;
1064;décoincer;;;;;;;;;;;;;;;;;;;dèkwêse;;;;;;;;;;;;;;;;;;;;;dèkwês;;;;;;;
1065;décoller;;;;;;dèkòla;;;;;;dèkòl6ra;;dèkòlè;;;dèkòlè;dèkòlè;dèkòle;dèkòlasjô;;;;;dèkòlô;dèkòle;dèkOl;dèkòlâ;;;;;;;dèkòlô;dèkOl;dèkòle;;;dèkOl;;;;;;;
1066;décolorer;;;;;;;;;;;;;;;;;;dèkòlòrè;dèkòlòre;;;;;;;;;;;;;;;;;dèkòlOr;;;;dèkòlOr;;;;;;;
1067;décolérer;;;;;;;;;;;;;;;;;dèkòlèrè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1068;décommander;;;;;;;;;;;;;;;;;;;dèkòmâde;;;;;;;;;;;;;;;;;dèkòmâd;;dèkòmâd;;dèkòmâd;;;;;;;dèkòmâd
1069;décompenser;;;;;;;;;;;;;;;;;;;dèkôpâse;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070;décomposer;;;;;;dèkôpòza;;;;;;dèkôpòz6ra;;;;;dèkôpòzè;dèkôpòzè;dèkôpòze;;;;;;;;dèkôpoz;dèkôpòzâ;;;;;;;;dèkôpoz;;;;dèkôpoz;;;;;;;
1071;décompresser;;;;;;;;;;;;;;;;;;;dèkôprèse;;;;;;;;dèkôprEs;;;;;;;;;dèkôprEs;;;;dèkôprEs;;;;;;;
1072;décompter;;;;;;;;;;;;;;;;;;;dèkôte;;;;;;;;dèkôt;;;;;;;;;;;;;dèkôt;;;;;;;
1073;déconcentrer;;;;;;;;;;;;;;;;;;;dèkôsâtre;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1074;déconcerter;;;;;;;;;;;;;;;;;;;dèkôsErte;;;;;;;;;dèkôsErtâ;;;;;;;;dèkôsErt;;;;dèkôsErt;;;;;;;
1075;déconnecter;;;;;;;;;;;;;;;;;;;dèkònEkte;;;;;;;dèkònEkte;dèkònEkt;;;;;;;;;;;;;;;;;;;;
1076;déconner;;;;;;;;;;;;;;;;dèkònè;;dèkònè;dèkòne;;;;;;;dèkòne;dèkòn;;;;;;;;;dèkòn;dèkòne;dèkòn;dèkòn;dèkòn;;;;;dèkòn;;
1077;déconseiller;;dèkôsèjè;;;dèkôsèjEr;;;;;;;;;;;;;dèkôsèjè;;;;;;;;;;;;dèkôsèj6rè;;;;;;dèkôsEj;;;;dèkôsEj;;;;;;;
1078;déconsidérer;;;;;;;;;;;;;;;;;;dèkôsidèrè;dèkôsidère;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1079;déconsigner;;;;;;;;;;;;;;;;;;;dèkôsiJe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080;décontenancer;;;;;;dèkôt6nâsa;;;;;;;;;;;;dèkôt6nâsè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1081;décontracter;;;;;;;;;;;;;;;;;;;dèkôtrakte;;;;;;;;;dèkôtraktâ;;;;;;;;;;;;;;;;;;;
1082;décorer;;;;;;;;;;;;;;;;;;dèkòrè;dèkòre;;;;;;;dèkòre;dèkOr;dèkòrâ;;;;;;;;dèkOr;;;dèkOr;dèkOr;;;;;;;
1083;décorner;;;;;;;;;;;;;;;;;;;dèkOrne;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084;décortiquer;;;;;;dèkOrtika;;;;;;;;;;;;;dèkOrtike;;;;;;;dèkOrtike;dèkOrtik;;;;;;;;;;;;dèkOrtik;dèkOrtik;;;;;;;
1085;découcher;;;;;;;;;;;;;;;;;;;dèkuSe;;;;;;;;;;;;;;;;;dèkuS;;;;dèkuS;;;;;;;
1086;découdre;;;;;;;;;;;;;;;;;;;dèkudr;;;;;;;;;;;;;;;;;;;;;dèku;;;;;;;
1087;découler;;;;;;;;;;;;;;;;;dèkulè;dèkulè;;;;;;;;;;;;;;;;;;;;;dèkul;dèkul;;;;;;;
1088;découper;;dèkupè;;;;dèkupa;;dèkup6rè;;;;;;dèkupè;;;dèkupè;dèkupè;dèkupe;;;;;;;dèkupe;dèkup;dèkupâ;;;;;;;;dèkup;dèkupe;;dèkup;dèkup;;;;;;;
1089;décourager;;;;;;;;;;;;;;;;;;dèkuraZè;dèkuraZe;;;;;;;dèkuraZe;dèkuraZ;;;;;;;;;dèkuraZ;;;dèkuraZ;dèkuraZ;;;;;;;
1090;découvrir;dèkuvrim;dèkuvri;;;dèkuvrir;dèkuvri;;dèkuvrirè;dèkuvrire;dèkuvrira;dèkuvrirô;dèkuvrira;dèkuvriô;dèkuvrè;;dèkuvrè;dèkuvrè;dèkuvrè;dèkuvrir;;;;;dèkuvri;dèkuvrô;dèkuvre;dèkuvr;dèkuvrâ;;;;dèkuvrirè;;dèkuvrirè;dèkuvrô;dèkuvr;dèkuvre;dèkuvr;dèkuvr;dèkuvr;;;;;;dèkuvr;dèkuvr
1091;décrasser;;;;;;;;;;;;;;;;;;;dèkrase;;;;;;;;;;;;;;;;;dèkras;;;;dèkras;;;;;;;
1092;décrier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèkri;;dèkri;;;;;;;
1093;décrire;;;;;;dèkrivi;;;;;;dèkrira;;dèkrivè;;;dèkrivè;dèkrivè;dèkrir;;;;;;;dèkrive;dèkri;dèkrivâ;;dèkrirè;;;;;;dèkri;dèkrive;dèkri;dèkriv;dèkri;;;;;;;
1094;décrisper;;;;;;;;;;;;;;;;;;;dèkrispe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1095;décrocher;;dèkròSè;;;dèkròSEr;dèkròSa;;dèkròS6rè;;;dèkròS6rô;;;dèkròSè;;;;;dèkròSe;;;;;;;dèkròSe;dèkrOS;;;dèkròS6rè;;;;dèkròS6rè;;dèkrOS;dèkròSe;;dèkrOS;dèkrOS;;;;;;;
1096;décroiser;;;;;;dèkrwaza;;;;;;;;;;;;;;;;;;;;;dèkrwaz;;;;;;;;;;;;;dèkrwaz;;;;;;;
1097;décrotter;;;;;;;;;;;;;;;;;;;dèkròte;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1098;décroître;;;;;;;;;;;;;;;;;dèkrwasè;dèkrwasè;dèkrwatr;;;;;;;;;dèkrwasâ;;;;;;;;;;;dèkrwas;dèkrwa;;;;;;;
1099;décrypter;;;;;;;;;;;;;;;;;;;dèkripte;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1100;décréter;;dèkrètè;;;;dèkrèta;;;;;;;;dèkrètè;;;;dèkrètè;dèkrète;;;;;;;dèkrète;dèkrEt;dèkrètâ;;dèkrèt6rè;;;;;dèkrètô;dèkrEt;dèkrète;;dèkrEt;dèkrEt;;;;;;;
1101;déculotter;;;;;;;;;;;;dèkylòt6ra;;;;;;dèkylòtè;dèkylòte;;;;;;;;dèkylOt;;;;;;;;;dèkylOt;;;;;;;;;;;
1102;décupler;;;;;;dèkypla;;;;;;;;;;;dèkyplè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103;dédaigner;;;;;;dèdèJa;;;;;;;;;;;dèdèJè;dèdèJè;dèdèJe;;;;;;;dèdèJe;dèdEJ;dèdèJâ;;;;;;;;dèdEJ;dèdèJe;dèdEJ;;dèdEJ;;;;;;;
1104;dédicacer;;;;;;;;;;;;;;;;;;;dèdikase;;;;;;;;dèdikas;;;;;;;;;dèdikas;dèdikase;;;dèdikas;;;dèdikas;;;;
1105;dédier;;;;;;dèdja;;;;;;;;;;;;dèdjè;dèdje;;;;;;dèdjô;;dèdi;dèdjâ;;;;;;;;dèdi;;;;dèdi;;;;;;;
1106;dédire;;;;;;;;;;;;;;;;;;;dèdir;;;;;;;;;;;;;;;;;;;;;dèdi;;;;;;;
1107;dédommager;;;;;;dèdòmaZa;;;;;;dèdòmaZ6ra;;;;;;dèdòmaZè;dèdòmaZe;;;;;;;;;;;;;;;dèdòmaZ6rè;;;;;;dèdòmaZ;;;;;;;
1108;dédouaner;;;;;;;;;;;;;;;;;;;dèdwane;;;;;;;;;;;;;;;;;;;;;dèdwan;;;;;;;
1109;dédoubler;;;;;;;;;;;;;;;;;;;dèduble;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1110;dédramatiser;;;;;;;;;;;;;;;;;;;dèdramatize;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111;déduire;;;;;;;;dèdHirè;;;;;;;;;;dèdHizè;dèdHir;;;;;;dèdHizô;dèdHize;dèdHi;;;;;;dèdHirè;;;dèdHi;dèdHize;dèdHi;;dèdHi;;;;;;;
1112;défaillir;;;;;;;;;;;;;;dèfajè;;;;dèfajè;dèfajir;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèfaj
1113;défaire;;;;;dèfir;dèfi;dèf6rô;dèf6rè;dèf6re;;;;;;;;dèf6zè;dèf6zè;dèfEr;;;;;;;;dèfè;dèf6zâ;;;;;;dèf6rè;;dèfè;;dèfè;dèfô;dèfè;;;;;;;dèfas
1114;défausser;;;;;;;;;;;;;;;;;;;dèfòse;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1115;défendre;;;;;;dèfâdi;dèfâdrô;dèfâdrè;dèfâdre;dèfâdra;;dèfâdra;;dèfâdè;;dèfâdè;dèfâdè;dèfâdè;dèfâdr;;;;;dèfâdi;dèfâdô;dèfâde;dèfâ;dèfâdâ;;;;dèfâdrè;dèfâdrè;dèfâdrè;dèfâdô;dèfâ;dèfâde;dèfâ;dèfâd;dèfâ;;;dèfâd;;dèfâd;;dèfâd
1116;déferler;;;;;;dèfErla;;;;;dèfErl6rô;;;;;;dèfErlè;dèfErlè;dèfErle;;;;;dèfErla;;;dèfErl;dèfErlâ;;;;;dèfErl6rè;;;;;;dèfErl;dèfErl;;;;;;;
1117;défier;;;;;dèfjEr;dèfja;;;;;;;;;;;dèfjè;dèfjè;dèfje;;;;;;dèfjô;;dèfi;dèfjâ;;;;;;;dèfjô;dèfi;dèfje;;dèfi;dèfi;;;;;;;
1118;défigurer;;;;;;;;;;;;;;;;;;dèfigyrè;dèfigyre;;;;;;;;dèfigyr;;;;;;;;;;;;;dèfigyr;;;;;;;
1119;défiler;;;;;dèfilEr;dèfila;;;;;dèfil6rô;;;;;;dèfilè;dèfilè;dèfile;;;;;;;;dèfil;dèfilâ;;;;;dèfil6rè;dèfil6rè;;dèfil;dèfile;;dèfil;dèfil;;;;;;;
1120;définir;;;;;;dèfini;;;;;;;;;;;dèfinisè;dèfinisè;dèfinir;;;;;;;dèfinise;;;;;;;;dèfinirè;;dèfini;dèfinise;dèfini;;dèfini;;;;;;;
1121;déflorer;;;;;;;;;;;;;;;;;;;dèflòre;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122;défoncer;;;;;;;;dèfôs6rè;;;dèfôs6rô;;;;;dèfôsè;;dèfôsè;dèfôse;;;;;;;;dèfôs;;;;;;;;;dèfôs;;;dèfôs;dèfôs;;;;;;;
1123;déformer;;;;;;;;;;;;dèfOrm6ra;;;;;dèfOrmè;dèfOrmè;dèfOrme;;;;;;;dèfOrme;dèfOrm;dèfOrmâ;;;;;;;;dèfOrm;;;dèfOrm;dèfOrm;;;;;;;
1124;défouler;;;;;;;;;;;;;;;;;;dèfulè;;;;;;;;;dèful;;;;;;;;;dèful;;dèful;;dèful;;;;;;;
1125;défrayer;;;;;dèfrèjEr;;;;;;;;;;;;;dèfrèjè;dèfrèje;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1126;défraîchir;;;;;;;;;;;;;;;;;;;dèfrèSir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1127;défricher;;;;;;;;;;;;;;;;;;;dèfriSe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1128;défriper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèfrip;;;;;;;;;;;
1129;défriser;;;;;;;;;;;;;;;;;;;dèfrize;;;;;;;;;;;;;;;;;dèfriz;;;;dèfriz;;;;;;;
1130;défroisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;dèfrwasâ;;;;;;;;;;;;dèfrwas;;;;;;;
1131;déféquer;;;;;;;;;;;;;;;;;dèfèkè;;dèfèke;;;;;;;;;;;;;;;;;;;;;dèfEk;;;;;;;
1132;dégager;;;;;;dègaZa;;;;;;dègaZ6ra;;;;;dègaZè;dègaZè;dègaZe;;;;;;dègaZô;dègaZe;dègaZ;dègaZâ;;;;;;;dègaZô;dègaZ;dègaZe;dègaZ;dègaZ;dègaZ;;;;;dègaZ;;dègaZ
